header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Jessie Bates III,28,S,11,11,2,20,0,17,4,1,0,0,0,0,0.0,71,38,33,0,1,0,
2,Kaden Elliss,30,LB,11,11,1,16,0,16,4,1,0,0,0,0,3.5,74,43,31,9,10,0,
3,Ryan Neuzil,28,OL,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
4,David Onyemata,33,DL,11,11,0,0,0,0,0,0,0,0,0,0,1.0,39,21,18,4,2,0,
5,Bijan Robinson,23,RB,11,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
6,Xavier Watts,24,S,11,11,3,0,0,0,6,0,0,0,0,0,0.0,64,40,24,0,0,0,
7,Elijah Wilkinson,30,OL,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
8,Leonard Floyd,33,DE,9,9,0,0,0,0,1,0,0,0,0,0,1.5,12,4,8,3,8,0,
9,Mike Hughes,28,CB,9,9,0,0,0,0,6,0,0,0,0,0,0.0,39,28,11,0,0,0,
10,Drake London,24,WR,9,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,Darnell Mooney,28,WR,9,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
12,Michael Penix,25,QB,9,9,0,0,0,0,0,0,4,2,-4,0,0.0,0,0,0,0,0,0,
13,AJ Terrell,27,CB,9,9,0,0,0,0,6,0,0,0,0,0,0.0,41,28,13,0,0,0,
14,Divine Deablo,27,LB,7,7,0,0,0,0,4,0,0,1,0,0,0.5,32,14,18,2,1,0,
15,Zach Harrison,24,DL,7,7,0,0,0,0,1,2,0,0,0,0,4.5,22,9,13,5,5,0,
16,Brandon Dorlus,24,DT,11,6,0,0,0,0,0,0,0,0,0,0,6.0,22,12,10,9,7,0,
17,DeAundre Alford,28,CB,10,5,1,0,0,0,8,1,0,1,2,0,2.0,39,32,7,2,2,0,
18,Ruke Orhorhoro,24,DT,11,5,0,0,0,0,0,0,0,0,0,0,2.5,18,8,10,2,3,0,
19,Jalon Walker,21,DE,9,5,0,0,0,0,1,2,0,1,0,0,5.0,30,21,9,4,6,0,
20,Arnold Ebiketie,26,DE,11,3,0,0,0,0,0,0,0,0,0,0,1.0,30,15,15,4,4,0,
21,James Pearce,22,DE,11,3,0,0,0,0,1,1,0,1,27,0,4.0,13,7,6,4,9,0,
22,JD Bertrand,25,LB,11,2,0,0,0,0,1,0,0,0,0,0,0.0,31,12,19,1,0,0,
23,Kirk Cousins,37,QB,4,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
24,Ronnie Harrison,28,LB,5,2,0,0,0,0,2,0,0,0,0,0,2.0,23,17,6,2,3,0,
25,Tyler Allgeier,25,RB,11,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
26,Billy Bowman,22,DB,6,1,1,0,0,0,2,1,0,0,0,0,1.5,26,15,11,1,2,0,
27,Natrone Brooks,26,CB,11,1,0,0,0,0,2,0,1,0,0,0,0.0,8,6,2,0,0,0,
28,Jordan Fuller,27,S,4,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
29,KhaDarel Hodge,30,WR,10,1,0,0,0,0,0,0,0,0,0,0,0.0,8,4,4,0,0,0,
30,LaCale London,28,DL,7,1,0,0,0,0,0,1,0,0,0,0,3.0,12,11,1,4,2,0,
31,Sam Roberts,27,DT,5,1,0,0,0,0,0,0,0,0,0,0,1.0,18,6,12,1,2,0,
32,Jamal Agnew,30,WR,9,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
33,Cobee Bryant,24,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
34,Nathan Carter,23,RB,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
35,Mike Ford,30,CB,11,0,0,0,0,0,0,0,0,1,0,0,0.0,14,9,5,0,0,0,
36,Feleipe Franks,28,TE,11,0,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,0,0,0,
37,Ta'Quon Graham,27,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,1,0,0,
38,DeMarcco Hellams,25,S,10,0,0,0,0,0,0,0,0,1,0,0,0.0,10,4,6,0,0,0,
39,Khalid Kareem,27,DE,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Younghoe Koo,31,K,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
41,DeAngelo Malone,26,DE,9,0,1,6,0,6,1,0,0,0,0,0,0.0,8,2,6,0,0,0,
42,Clark Phillips,24,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
43,Bradley Pinion,31,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
44,Kentavius Street,29,DL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,
45,Keith Taylor,27,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
46,Josh Woods,29,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,10,5,5,0,0,0,
