header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Bijan Robinson,23,RB,11,11,172,853,4,36,52.9,81,5.0,77.5,15.6,61,49,543,11.1,2,22,60.7,69,4.5,49.4,80.3,8.9,221,6.3,1396,6,2,
2,Drake London,24,WR,9,9,0,0,0,0,,,,0.0,0.0,94,60,810,13.5,6,39,58.5,43,6.7,90.0,63.8,8.6,60,13.5,810,6,1,
3,Kyle Pitts,25,TE,11,11,0,0,0,0,,,,0.0,0.0,67,49,459,9.4,1,23,47.8,26,4.5,41.7,73.1,6.9,49,9.4,459,1,0,
4,Tyler Allgeier,25,RB,11,1,89,324,7,25,52.8,21,3.6,29.5,8.1,9,8,31,3.9,0,1,55.6,6,0.7,2.8,88.9,3.4,97,3.7,355,7,0,
5,Darnell Mooney,28,WR,9,9,0,0,0,0,,,,0.0,0.0,45,19,298,15.7,1,16,37.8,49,2.1,33.1,42.2,6.6,19,15.7,298,1,1,
6,Casey Washington,24,WR,7,2,0,0,0,0,,,,0.0,0.0,14,6,94,15.7,0,6,42.9,25,0.9,13.4,42.9,6.7,6,15.7,94,0,0,
7,Michael Penix,25,QB,9,9,21,70,1,5,38.1,15,3.3,7.8,2.3,0,0,0,,0,0,,,0.0,0.0,,,21,3.3,70,1,4,
8,Ray-Ray McCloud,29,WR,4,1,0,0,0,0,,,,0.0,0.0,14,6,64,10.7,0,4,28.6,24,1.5,16.0,42.9,4.6,6,10.7,64,0,0,
9,Nathan Carter,23,RB,4,0,9,60,0,3,55.6,12,6.7,15.0,2.3,0,0,0,,0,0,,,0.0,0.0,,,9,6.7,60,0,1,
10,David Sills V,29,WR,11,1,0,0,0,0,,,,0.0,0.0,12,6,50,8.3,1,2,41.7,12,0.5,4.5,50.0,4.2,6,8.3,50,1,0,
11,Charlie Woerner,28,TE,11,8,0,0,0,0,,,,0.0,0.0,6,5,33,6.6,0,2,33.3,18,0.5,3.0,83.3,5.5,5,6.6,33,0,0,
12,KhaDarel Hodge,30,WR,10,1,0,0,0,0,,,,0.0,0.0,10,3,31,10.3,0,2,30.0,16,0.3,3.1,30.0,3.1,3,10.3,31,0,0,
13,Dylan Drummond,25,WR,3,0,0,0,0,0,,,,0.0,0.0,3,3,18,6.0,0,0,33.3,9,1.0,6.0,100.0,6.0,3,6.0,18,0,0,
14,Kirk Cousins,37,QB,4,2,5,9,0,2,40.0,6,1.8,2.3,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,1.8,9,0,1,
15,Feleipe Franks,28,TE,11,0,2,4,0,2,100.0,2,2.0,0.4,0.2,0,0,0,,0,0,,,0.0,0.0,,,2,2.0,4,0,0,
