header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,,Tampa Bay Buccaneers,20,23,23,358,289,69,,16,260,159,101,,9.79,-7.74,-5.47
2,Sun,September 14,8:20PM ET,boxscore,W,,1-1,@,Minnesota Vikings,22,6,19,326,108,218,1,10,198,120,78,4,-1.23,15.15,4.06
3,Sun,September 21,1:00PM ET,boxscore,L,,1-2,@,Carolina Panthers,0,30,17,332,201,131,3,15,224,114,110,1,-17.15,-2.66,-6.93
4,Sun,September 28,1:00PM ET,boxscore,W,,2-2,,Washington Commanders,34,27,24,435,307,128,1,17,294,147,147,1,17.75,-6.89,-2.18
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Mon,October 13,7:15PM ET,boxscore,W,,3-2,,Buffalo Bills,24,14,22,443,233,210,,17,291,157,134,2,11.09,4.15,-5.75
7,Sun,October 19,8:20PM ET,boxscore,L,,3-3,@,San Francisco 49ers,10,20,19,292,230,62,1,23,324,150,174,1,-2.45,-5.61,0.03
8,Sun,October 26,1:00PM ET,boxscore,L,,3-4,,Miami Dolphins,10,34,11,213,168,45,1,24,338,197,141,,-8.12,-14.50,0.54
9,Sun,November 2,1:00PM ET,boxscore,L,,3-5,@,New England Patriots,23,24,17,288,217,71,,23,331,221,110,2,3.23,-3.80,-1.12
10,Sun,November 9,9:30AM ET,boxscore,L,OT,3-6,@,Indianapolis Colts,25,31,22,290,150,140,1,25,519,196,323,2,2.70,-11.04,2.47
11,Sun,November 16,1:00PM ET,boxscore,L,OT,3-7,,Carolina Panthers,27,30,23,348,223,125,1,22,486,419,67,,10.15,-10.27,1.18
12,Sun,November 23,4:25PM ET,boxscore,W,,4-7,@,New Orleans Saints,24,10,13,302,181,121,1,21,293,214,79,2,-7.13,12.54,7.13
13,Sun,November 30,1:00PM ET,preview,,,,@,New York Jets,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Seattle Seahawks,,,,,,,,,,,,,,,
15,Thu,December 11,8:15PM ET,preview,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,,,,,
16,Sun,December 21,4:05PM ET,preview,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,
17,Mon,December 29,8:15PM ET,preview,,,,,Los Angeles Rams,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
