header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,John Parker Romo,28,K,7,0,0,0,0,0,0,0,0,0,0,0,12,13,11,14,0,45,6.4,
2,Tyler Allgeier,25,RB,11,1,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,3.8,
3,Drake London,24,WR,9,9,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0,38,4.2,
4,Bijan Robinson,23,RB,11,11,4,2,0,0,0,0,0,6,1,0,0,0,0,0,0,38,3.5,
5,Zane Gonzalez,30,K,3,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,24,8.0,
6,Younghoe Koo,31,K,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,8,8.0,
7,Darnell Mooney,28,WR,9,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
8,Michael Penix,25,QB,9,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
9,Kyle Pitts,25,TE,11,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,David Sills V,29,WR,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
