header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Josh Allen,29,QB,11,11,0,0,0,0,0,0,5,1,-11,0,0.0,0,0,0,0,0,0,
2,Cole Bishop,23,S,11,11,3,16,0,12,7,0,0,0,0,0,2.0,61,40,21,3,2,0,
3,Joey Bosa,30,DE,11,11,0,0,0,0,0,4,0,0,0,0,4.0,24,14,10,7,14,0,
4,James Cook,26,RB,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
5,Gregory Rousseau,25,DE,11,11,0,0,0,0,2,1,0,0,0,0,3.0,35,19,16,3,11,0,
6,Christian Benford,25,CB,10,10,0,0,0,0,0,0,0,1,6,0,1.0,36,26,10,2,1,0,
7,Terrel Bernard,26,LB,10,10,1,24,0,24,3,0,0,2,0,0,0.0,56,40,16,7,2,0,
8,Spencer Brown,27,T,10,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
9,Deone Walker,21,DT,11,10,0,0,0,0,2,0,0,1,6,0,1.0,27,14,13,7,3,0,
10,Tre'Davious White,30,CB,10,10,0,0,0,0,4,0,0,0,0,0,0.0,30,24,6,5,0,0,
11,DaQuan Jones,34,DT,8,8,0,0,0,0,1,1,0,0,0,0,3.0,13,6,7,3,6,0,
12,Matt Milano,31,LB,7,7,0,0,0,0,0,0,0,0,0,0,1.0,33,17,16,2,1,0,
13,Khalil Shakir,25,WR,11,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
14,Dorian Williams,24,LB,10,7,0,0,0,0,2,0,0,1,0,0,0.0,43,23,20,0,2,0,
15,Keon Coleman,22,WR,9,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
16,Taylor Rapp,28,S,6,6,0,0,0,0,0,0,0,0,0,0,0.0,26,17,9,0,0,0,
17,Jordan Poyer,34,S,6,5,0,0,0,0,2,0,0,0,0,0,0.0,40,15,25,0,0,0,
18,Taron Johnson,29,CB,8,4,0,0,0,0,3,0,0,0,0,0,0.0,36,25,11,1,0,0,
19,Tyrell Shavers,26,WR,11,4,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
20,Dalton Kincaid,26,TE,8,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
21,Ed Oliver,28,DT,3,3,0,0,0,0,0,1,0,0,0,0,3.0,12,10,2,7,5,0,
22,Reggie Gilliam,28,FB,11,2,0,0,0,0,0,0,0,0,0,0,0.0,9,3,6,0,0,0,
23,Cameron Lewis,28,DB,11,2,0,0,0,0,3,2,0,0,0,0,0.0,28,20,8,1,0,0,
24,Elijah Moore,25,WR,9,2,0,0,0,0,0,0,0,1,-1,0,0.0,0,0,0,0,0,0,
25,Shaq Thompson,31,OLB,7,2,0,0,0,0,2,1,0,0,0,0,1.0,32,19,13,3,1,0,
26,Joe Andreessen,25,LB,11,1,0,0,0,0,0,0,0,0,0,0,0.0,23,10,13,0,1,0,
