header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,James Cook,26,RB,11,11,199,1084,8,47,57.8,64,5.4,98.5,18.1,26,24,203,8.5,1,6,53.8,51,2.2,18.5,92.3,7.8,223,5.8,1287,9,2,
2,Khalil Shakir,25,WR,11,7,1,5,0,0,0.0,5,5.0,0.5,0.1,71,54,564,10.4,3,23,47.9,54,4.9,51.3,76.1,7.9,55,10.3,569,3,1,
3,Dalton Kincaid,26,TE,8,3,0,0,0,0,,,,0.0,0.0,36,29,448,15.4,4,21,66.7,47,3.6,56.0,80.6,12.4,29,15.4,448,4,1,
4,Josh Allen,29,QB,11,11,70,371,10,29,60.0,40,5.3,33.7,6.4,0,0,0,,0,0,,,0.0,0.0,,,70,5.3,371,10,5,
5,Keon Coleman,22,WR,9,6,0,0,0,0,,,,0.0,0.0,49,32,330,10.3,3,22,61.2,35,3.6,36.7,65.3,6.7,32,10.3,330,3,1,
6,Josh Palmer,26,WR,8,5,0,0,0,0,,,,0.0,0.0,29,18,272,15.1,0,12,51.7,45,2.3,34.0,62.1,9.4,18,15.1,272,0,0,
7,Ty Johnson,28,RB,11,0,21,90,1,3,47.6,17,4.3,8.2,1.9,16,11,161,14.6,1,6,50.0,52,1.0,14.6,68.8,10.1,32,7.8,251,2,1,
8,Dawson Knox,29,TE,11,8,0,0,0,0,,,,0.0,0.0,25,16,195,12.2,1,9,60.0,30,1.5,17.7,64.0,7.8,16,12.2,195,1,0,
9,Tyrell Shavers,26,WR,11,4,0,0,0,0,,,,0.0,0.0,17,11,172,15.6,1,7,64.7,43,1.0,15.6,64.7,10.1,11,15.6,172,1,0,
10,Jackson Hawes,25,TE,11,5,0,0,0,0,,,,0.0,0.0,13,10,139,13.9,2,9,76.9,29,0.9,12.6,76.9,10.7,10,13.9,139,2,0,
11,Elijah Moore,25,WR,9,2,6,24,1,3,50.0,11,4.0,2.7,0.7,17,9,112,12.4,0,4,35.3,31,1.0,12.4,52.9,6.6,15,9.1,136,1,0,
12,Curtis Samuel,29,WR,6,0,0,0,0,0,,,,0.0,0.0,9,7,81,11.6,1,5,55.6,21,1.2,13.5,77.8,9.0,7,11.6,81,1,0,
13,Gabriel Davis,26,WR,2,2,0,0,0,0,,,,0.0,0.0,6,4,62,15.5,0,4,66.7,22,2.0,31.0,66.7,10.3,4,15.5,62,0,0,
14,Ray Davis,26,RB,11,0,24,44,0,2,33.3,8,1.8,4.0,2.2,7,4,18,4.5,1,2,28.6,16,0.4,1.6,57.1,2.6,28,2.2,62,1,0,
15,Keleki Latu,23,TE,2,0,0,0,0,0,,,,0.0,0.0,1,1,4,4.0,0,0,0.0,4,0.5,2.0,100.0,4.0,1,4.0,4,0,0,
16,Reggie Gilliam,28,FB,11,2,0,0,0,0,,,,0.0,0.0,1,1,2,2.0,0,0,0.0,2,0.1,0.2,100.0,2.0,1,2.0,2,0,0,
17,Mitchell Trubisky,31,QB,3,0,4,1,0,0,0.0,4,0.3,0.3,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,0.3,1,0,0,
18,Mecole Hardman,27,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,1,
