header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,8:20PM ET,boxscore,W,,1-0,,Baltimore Ravens,41,40,29,497,389,108,,19,432,194,238,1,21.93,-19.52,-3.41
2,Sun,September 14,1:00PM ET,boxscore,W,,2-0,@,New York Jets,30,10,25,403,179,224,,11,154,54,100,1,14.17,9.90,-4.13
3,Thu,September 18,8:15PM ET,boxscore,W,,3-0,,Miami Dolphins,31,21,23,360,203,157,,19,276,146,130,1,17.09,-6.98,-2.77
4,Sun,September 28,1:00PM ET,boxscore,W,,4-0,,New Orleans Saints,31,19,20,356,191,165,1,22,298,109,189,1,9.22,4.90,-0.61
5,Sun,October 5,8:20PM ET,boxscore,L,,4-1,,New England Patriots,20,23,25,363,245,118,3,21,338,267,71,1,6.83,-8.03,-0.80
6,Mon,October 13,7:15PM ET,boxscore,L,,4-2,@,Atlanta Falcons,14,24,17,291,157,134,2,22,443,233,210,,-4.15,-11.09,5.75
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 26,1:00PM ET,boxscore,W,,5-2,@,Carolina Panthers,40,9,23,410,165,245,,19,244,130,114,3,21.36,12.66,-5.34
9,Sun,November 2,4:25PM ET,boxscore,W,,6-2,,Kansas City Chiefs,28,21,23,404,263,141,,16,305,226,79,1,18.07,-2.73,-7.34
10,Sun,November 9,1:00PM ET,boxscore,L,,6-3,@,Miami Dolphins,13,30,20,376,289,87,3,19,370,173,197,2,-3.35,-17.53,2.85
11,Sun,November 16,1:00PM ET,boxscore,W,,7-3,,Tampa Bay Buccaneers,44,32,19,414,317,97,3,21,367,165,202,2,19.33,-5.15,-0.72
12,Thu,November 20,8:15PM ET,boxscore,L,,7-4,@,Houston Texans,19,23,14,326,183,143,3,15,261,153,108,,-6.50,0.84,3.10
13,Sun,November 30,4:25PM ET,preview,,,,@,Pittsburgh Steelers,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,Cleveland Browns,,,,,,,,,,,,,,,
17,Sun,December 28,4:25PM ET,preview,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
