header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Matt Prater,41,K,11,0,0,0,0,0,0,0,0,0,0,0,32,34,15,17,0,77,7.0,
2,Josh Allen,29,QB,11,11,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,60,5.5,
3,James Cook,26,RB,11,11,8,1,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.9,
4,Dalton Kincaid,26,TE,8,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,3.0,
5,Keon Coleman,22,WR,9,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.0,
6,Khalil Shakir,25,WR,11,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
7,Ray Davis,26,RB,11,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Jackson Hawes,25,TE,11,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
9,Ty Johnson,28,RB,11,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
10,Dawson Knox,29,TE,11,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Elijah Moore,25,WR,9,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
12,Curtis Samuel,29,WR,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
13,Tyrell Shavers,26,WR,11,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
