header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Derrick Brown,27,DT,12,12,0,0,0,0,6,0,0,0,0,0,3.0,43,20,23,3,8,0,
2,Jaycee Horn,26,CB,12,12,5,46,0,22,6,0,0,0,0,0,0.0,25,15,10,0,0,0,
3,Michael Jackson,28,CB,12,12,2,54,0,54,12,0,0,0,0,0,0.0,41,34,7,2,0,0,
4,Tre'von Moehrig,26,S,12,12,1,36,0,36,2,0,0,0,0,0,1.0,81,50,31,10,5,0,
5,Nick Scott,30,S,12,12,0,0,0,0,2,0,0,1,0,0,0.0,66,33,33,0,0,0,
6,Damien Lewis,28,G,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
7,A'Shawn Robinson,30,DE,12,11,0,0,0,0,2,0,0,0,0,0,2.5,43,17,26,3,6,0,
8,Christian Rozeboom,28,LB,11,11,0,0,0,0,1,1,0,0,0,0,0.0,91,43,48,5,0,0,
9,Tommy Tremble,25,TE,12,11,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
10,Bryce Young,24,QB,11,11,0,0,0,0,0,0,6,1,-4,0,0.0,0,0,0,0,0,0,
11,Xavier Legette,24,WR,10,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
12,Trevin Wallace,22,LB,10,10,0,0,0,0,4,0,0,0,0,0,2.0,52,33,19,4,4,0,
13,D.J. Wonnum,28,OLB,11,10,1,0,0,0,2,0,0,0,0,0,0.0,28,11,17,2,1,0,
14,Tershawn Wharton,27,DT,8,8,0,0,0,0,1,0,0,0,0,0,2.0,35,11,24,2,3,0,
15,Austin Corbett,30,OG,8,6,0,0,0,0,0,0,1,0,-8,0,0.0,0,0,0,0,0,0,
16,Rico Dowdle,27,RB,12,6,0,0,0,0,0,0,1,1,-1,0,0.0,0,0,0,0,0,0,
17,Chuba Hubbard,26,RB,10,6,0,0,0,0,0,0,0,1,6,0,0.0,0,0,0,0,0,0,
18,Lathan Ransom,23,S,11,5,0,0,0,0,0,1,0,0,0,0,0.0,34,18,16,1,0,0,
19,Patrick Jones II,27,OLB,4,4,0,0,0,0,1,0,0,0,0,0,1.0,9,6,3,2,2,0,
20,Nic Scourton,21,OLB,12,4,0,0,0,0,1,0,0,0,0,0,3.0,32,14,18,5,7,0,
21,Bobby Brown,25,NT,12,3,0,0,0,0,0,0,0,0,0,0,0.0,18,7,11,2,0,0,
22,Ja'Tavion Sanders,22,TE,9,3,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
23,Chau Smith-Wade,23,CB,11,3,1,11,1,11,2,0,0,0,0,0,0.0,33,29,4,1,0,0,
24,Claudin Cherelus,27,LB,11,2,0,0,0,0,1,0,0,0,0,0,0.0,23,7,16,0,0,0,
25,Krys Barnes,27,LB,3,1,0,0,0,0,0,0,0,0,0,0,0.0,12,3,9,0,0,0,
26,Andy Dalton,38,QB,4,1,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
27,Brycen Tremayne,26,WR,11,1,0,0,0,0,0,0,1,0,0,0,0.0,11,3,8,0,0,0,
28,Boogie Basham,28,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
29,Dalevon Campbell,24,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
30,Jaden Crumedy,25,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
31,DeeJay Dallas,27,RB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
32,Trevor Etienne,21,RB,12,0,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
33,Akayleb Evans,26,CB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
34,Ryan Fitzgerald,25,K,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
35,Trevis Gipson,28,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,8,3,5,0,0,0,
36,Thomas Incoom,26,OLB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,13,7,6,0,0,0,
37,Cam Jackson,23,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
38,DJ Johnson,27,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
39,Sam Martin,35,P,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Bam Martin-Scott,25,LB,12,0,0,0,0,0,0,1,0,0,0,0,0.0,17,7,10,1,0,0,
41,Maema Njongmeta,24,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,8,3,5,0,0,0,
42,LaBryan Ray,28,DE,8,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,
43,Demani Richardson,25,S,12,0,0,0,0,0,0,0,0,1,0,0,0.0,5,2,3,0,0,0,
44,Trevian Thomas,23,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
45,Corey Thornton,25,CB,12,0,0,0,0,0,3,1,0,0,0,0,0.0,14,8,6,0,0,0,
46,Princely Umanmielen,23,OLB,11,0,0,0,0,0,0,1,0,1,0,0,1.5,16,10,6,1,4,0,
