header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Rico Dowdle,27,RB,12,6,174,871,5,43,50.0,53,5.0,72.6,14.5,34,27,233,8.6,1,12,52.9,36,2.3,19.4,79.4,6.9,201,5.5,1104,6,1,
2,Tetairoa McMillan,22,WR,12,12,0,0,0,0,,,,0.0,0.0,96,56,783,14.0,5,45,53.1,40,4.7,65.3,58.3,8.2,56,14.0,783,5,0,
3,Chuba Hubbard,26,RB,10,6,94,350,1,18,50.0,14,3.7,35.0,9.4,30,21,153,7.3,2,9,40.0,27,2.1,15.3,70.0,5.1,115,4.4,503,3,0,
4,Xavier Legette,24,WR,10,10,1,0,0,0,0.0,,0.0,0.0,0.1,51,27,286,10.6,3,14,37.3,36,2.7,28.6,52.9,5.6,28,10.2,286,3,1,
5,Tommy Tremble,25,TE,12,11,0,0,0,0,,,,0.0,0.0,25,19,184,9.7,1,6,56.0,54,1.6,15.3,76.0,7.4,19,9.7,184,1,0,
6,Ja'Tavion Sanders,22,TE,9,3,0,0,0,0,,,,0.0,0.0,30,25,176,7.0,0,7,56.7,18,2.8,19.6,83.3,5.9,25,7.0,176,0,0,
7,Jalen Coker,24,WR,6,2,0,0,0,0,,,,0.0,0.0,19,14,150,10.7,0,10,68.4,22,2.3,25.0,73.7,7.9,14,10.7,150,0,0,
8,Brycen Tremayne,26,WR,11,1,0,0,0,0,,,,0.0,0.0,15,12,133,11.1,0,6,73.3,26,1.1,12.1,80.0,8.9,12,11.1,133,0,1,
9,Jimmy Horn,23,WR,8,0,7,44,0,2,85.7,11,6.3,5.5,0.9,11,7,77,11.0,0,3,45.5,34,0.9,9.6,63.6,7.0,14,8.6,121,0,0,
10,Mitchell Evans,22,TE,12,5,0,0,0,0,,,,0.0,0.0,15,11,118,10.7,2,7,73.3,25,0.9,9.8,73.3,7.9,11,10.7,118,2,0,
11,Trevor Etienne,21,RB,12,0,20,94,0,6,50.0,22,4.7,7.8,1.7,2,2,9,4.5,0,1,50.0,7,0.2,0.8,100.0,4.5,22,4.7,103,0,2,
12,Bryce Young,24,QB,11,11,27,98,1,9,51.9,22,3.6,8.9,2.5,0,0,0,,0,0,,,0.0,0.0,,,27,3.6,98,1,6,
13,Hunter Renfrow,30,WR,6,2,0,0,0,0,,,,0.0,0.0,26,15,89,5.9,2,8,34.6,15,2.5,14.8,57.7,3.4,15,5.9,89,2,0,
14,James Mitchell,26,TE,3,0,0,0,0,0,,,,0.0,0.0,3,3,28,9.3,0,2,100.0,11,1.0,9.3,100.0,9.3,3,9.3,28,0,0,
15,David Moore,30,WR,4,2,1,12,0,1,100.0,12,12.0,3.0,0.3,1,1,5,5.0,0,0,0.0,5,0.3,1.3,100.0,5.0,2,8.5,17,0,0,
16,DeeJay Dallas,27,RB,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
17,Andy Dalton,38,QB,4,1,5,-2,0,0,0.0,1,-0.4,-0.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,-0.4,-2,0,2,
