header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,@,Jacksonville Jaguars,10,26,15,255,142,113,3,19,378,178,200,1,-9.69,-8.42,0.76
2,Sun,September 14,4:05PM ET,boxscore,L,,0-2,@,Arizona Cardinals,22,27,26,352,303,49,2,16,293,211,82,1,-0.07,-7.39,-0.13
3,Sun,September 21,1:00PM ET,boxscore,W,,1-2,,Atlanta Falcons,30,0,15,224,114,110,1,17,332,201,131,3,2.66,17.15,6.93
4,Sun,September 28,1:00PM ET,boxscore,L,,1-3,@,New England Patriots,13,42,21,326,197,129,,16,307,203,104,,0.46,-14.44,-12.06
5,Sun,October 5,1:00PM ET,boxscore,W,,2-3,,Miami Dolphins,27,24,26,418,179,239,2,15,248,229,19,,12.53,-4.31,-5.12
6,Sun,October 12,1:00PM ET,boxscore,W,,3-3,,Dallas Cowboys,30,27,27,410,194,216,1,15,292,261,31,,14.85,-12.35,0.96
7,Sun,October 19,1:00PM ET,boxscore,W,,4-3,@,New York Jets,13,6,17,302,177,125,,12,220,139,81,2,-4.79,13.77,0.53
8,Sun,October 26,1:00PM ET,boxscore,L,,4-4,,Buffalo Bills,9,40,19,244,130,114,3,23,410,165,245,,-12.66,-21.36,5.34
9,Sun,November 2,1:00PM ET,boxscore,W,,5-4,@,Green Bay Packers,16,13,19,265,102,163,1,20,369,265,104,2,6.92,-5.28,1.36
10,Sun,November 9,1:00PM ET,boxscore,L,,5-5,,New Orleans Saints,7,17,13,175,102,73,2,17,388,266,122,1,-10.51,-9.31,7.78
11,Sun,November 16,1:00PM ET,boxscore,W,OT,6-5,@,Atlanta Falcons,30,27,22,486,419,67,,23,348,223,125,1,10.27,-10.15,-1.18
12,Mon,November 24,8:15PM ET,boxscore,L,,6-6,@,San Francisco 49ers,9,20,12,230,161,69,2,23,340,193,147,3,-10.89,-5.42,0.84
13,Sun,November 30,1:00PM ET,preview,,,,,Los Angeles Rams,,,,,,,,,,,,,,,
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,@,New Orleans Saints,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,Tampa Bay Buccaneers,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,Seattle Seahawks,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,,,,,
