header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Ryan Fitzgerald,25,K,12,0,0,0,0,0,0,0,0,0,0,0,16,19,18,22,0,70,5.8,
2,Rico Dowdle,27,RB,12,6,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.0,
3,Tetairoa McMillan,22,WR,12,12,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.5,
4,Chuba Hubbard,26,RB,10,6,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
5,Xavier Legette,24,WR,10,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
6,Mitchell Evans,22,TE,12,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.0,
7,Hunter Renfrow,30,WR,6,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.0,
8,Chau Smith-Wade,23,CB,11,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
9,Tommy Tremble,25,TE,12,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Bryce Young,24,QB,11,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Jalen Coker,24,WR,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.3,
