header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Jaquan Brisker,26,DB,11,11,1,32,0,32,4,0,0,0,0,0,1.0,56,33,23,1,3,0,
2,Kevin Byard,32,DB,11,11,5,70,0,35,6,0,0,0,0,0,0.0,59,42,17,4,0,0,
3,Drew Dalman,27,OL,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
4,Gervon Dexter,24,DL,11,11,0,0,0,0,0,0,0,2,0,0,4.0,26,12,14,4,6,0,
5,D.J. Moore,28,WR,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
6,Rome Odunze,23,WR,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
7,Montez Sweat,29,DL,11,11,0,0,0,0,5,3,0,1,0,0,7.5,35,25,10,11,12,0,
8,Caleb Williams,24,QB,11,11,0,0,0,0,0,0,6,3,-28,0,0.0,0,0,0,0,0,0,
9,Tremaine Edmunds,27,LB,10,10,4,10,0,10,9,0,0,0,0,0,1.0,89,46,43,3,3,0,
10,Tyrique Stevenson,25,DB,10,10,1,3,0,3,9,2,0,2,-19,0,0.0,46,33,13,1,0,0,
11,D'Andre Swift,26,RB,10,10,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
12,Nahshon Wright,27,CB,11,10,5,118,1,74,10,0,0,2,-1,0,0.0,49,34,15,3,1,0,
13,Cole Kmet,26,TE,10,9,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
14,Andrew Billings,30,DL,11,8,0,0,0,0,0,0,0,0,0,0,0.0,19,12,7,3,0,0,
15,Dayo Odeyingbo,26,DL,8,8,0,0,0,0,1,0,0,0,0,0,1.0,21,9,12,2,4,0,
16,Noah Sewell,23,LB,9,7,0,0,0,0,0,1,0,0,0,0,0.0,55,31,24,3,0,0,
17,T.J. Edwards,29,LB,5,5,0,0,0,0,3,0,0,0,0,0,0.0,31,12,19,1,0,0,
18,Nick McCloud,27,CB,11,4,0,0,0,0,0,0,0,0,0,0,0.0,24,15,9,0,0,0,
19,Austin Booker,23,DL,4,3,0,0,0,0,0,1,0,0,0,0,1.0,10,7,3,1,6,0,
20,C.J. Gardner-Johnson,28,S,4,3,0,0,0,0,0,1,0,0,0,0,3.0,20,15,5,4,4,0,
21,Grady Jarrett,32,DL,8,3,0,0,0,0,1,0,0,0,0,0,0.0,17,3,14,0,5,0,
22,Kyler Gordon,26,DB,2,1,0,0,0,0,0,0,0,1,0,0,1.0,6,4,2,1,1,0,
23,Daniel Hardy,27,DL,11,1,0,0,0,0,0,0,0,0,0,0,0.0,17,6,11,0,1,0,
24,Ruben Hyppolite,24,LB,7,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
25,D'Marco Jackson,27,LB,10,1,0,0,0,0,1,0,0,1,0,0,0.0,26,9,17,1,0,0,
26,Jaylon Johnson,26,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
27,Jaylon Jones,28,CB,9,1,0,0,0,0,0,1,0,0,0,0,0.0,9,5,4,0,0,0,
28,Kyle Monangai,23,RB,11,1,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,
29,Tyson Bagent,25,QB,3,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
30,Josh Blackwell,26,DB,9,0,0,0,0,0,0,0,1,0,0,0,0.0,5,2,3,0,0,0,
31,Scott Daly,31,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
32,Devin Duvernay,28,WR,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
33,Dallis Flowers,28,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
34,Jonathan Ford,26,DL,7,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0,0,0,
35,Elijah Hicks,26,DB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,12,5,7,0,0,0,
36,Travis Homer,27,RB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
37,Roschon Johnson,24,RB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0,0,0,
38,Carl Jones,24,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,11,3,8,0,0,0,
39,Nikola Kalinic,28,TE,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,1,1,0,0,0,
40,Tanoh Kpassagnon,31,DL,4,0,0,0,0,0,0,0,0,0,0,0,1.0,5,4,1,1,2,0,
41,Amen Ogbongbemiga,27,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,15,3,12,0,0,0,
42,Jonathan Owens,30,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,17,9,8,0,0,0,
43,Dominique Robinson,27,DL,9,0,0,0,0,0,0,0,0,0,0,0,1.5,13,10,3,2,3,0,
44,Tory Taylor,28,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
45,Joe Tryon-Shoyinka,26,DL,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0,0,0,
46,Shemar Turner,22,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,2,0,0,
47,Jahdae Walker,23,WR,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
48,Chris Williams,27,DT,8,0,0,0,0,0,0,0,0,0,0,0,1.0,9,4,5,0,2,0,
