header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,D'Andre Swift,26,RB,10,10,142,649,4,38,50.0,25,4.6,64.9,14.2,34,24,224,9.3,1,8,35.3,55,2.4,22.4,70.6,6.6,166,5.3,873,5,2,
2,Rome Odunze,23,WR,11,11,0,0,0,0,,,,0.0,0.0,84,42,653,15.5,6,36,47.6,37,3.8,59.4,50.0,7.8,42,15.5,653,6,0,
3,Kyle Monangai,23,RB,11,1,99,461,4,26,55.6,39,4.7,41.9,9.0,16,10,97,9.7,0,5,43.8,25,0.9,8.8,62.5,6.1,109,5.1,558,4,0,
4,D.J. Moore,28,WR,11,11,13,57,1,3,61.5,17,4.4,5.2,1.2,58,36,485,13.5,3,22,50.0,42,3.3,44.1,62.1,8.4,49,11.1,542,4,1,
5,Colston Loveland,21,TE,10,8,0,0,0,0,,,,0.0,0.0,38,28,378,13.5,3,16,50.0,58,2.8,37.8,73.7,9.9,28,13.5,378,3,0,
6,Luther Burden,22,WR,10,1,3,21,0,2,66.7,15,7.0,2.1,0.3,28,22,295,13.4,1,11,50.0,65,2.2,29.5,78.6,10.5,25,12.6,316,1,0,
7,Caleb Williams,24,QB,11,11,56,293,3,18,55.4,29,5.2,26.6,5.1,2,2,22,11.0,1,2,100.0,20,0.2,2.0,100.0,11.0,58,5.4,315,4,6,
8,Olamide Zaccheaus,28,WR,11,3,4,25,0,1,75.0,12,6.3,2.3,0.4,51,33,254,7.7,1,11,43.1,16,3.0,23.1,64.7,5.0,37,7.5,279,1,0,
9,Cole Kmet,26,TE,10,9,0,0,0,0,,,,0.0,0.0,29,17,195,11.5,1,9,48.3,31,1.7,19.5,58.6,6.7,17,11.5,195,1,0,
10,Brittain Brown,28,RB,2,0,5,37,1,2,60.0,22,7.4,18.5,2.5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,5,7.4,37,1,0,
11,Roschon Johnson,24,RB,7,0,2,17,0,1,100.0,11,8.5,2.4,0.3,0,0,0,,0,0,,,0.0,0.0,,,2,8.5,17,0,0,
12,Durham Smythe,30,TE,11,1,0,0,0,0,,,,0.0,0.0,4,2,12,6.0,0,0,50.0,8,0.2,1.1,50.0,3.0,2,6.0,12,0,0,
13,Tyson Bagent,25,QB,3,0,2,7,0,0,50.0,7,3.5,2.3,0.7,0,0,0,,0,0,,,0.0,0.0,,,2,3.5,7,0,1,
14,Devin Duvernay,28,WR,11,0,0,0,0,0,,,,0.0,0.0,3,1,2,2.0,0,0,33.3,2,0.1,0.2,33.3,0.7,1,2.0,2,0,0,
15,Travis Homer,27,RB,5,0,1,-2,0,0,0.0,-2,-2.0,-0.4,0.2,0,0,0,,0,0,,,0.0,0.0,,,1,-2.0,-2,0,0,
