header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Cairo Santos,34,K,9,0,0,0,0,0,0,0,0,0,0,0,25,25,17,21,0,76,8.4,
2,Rome Odunze,23,WR,11,11,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.3,
3,D'Andre Swift,26,RB,10,10,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
4,Jake Moody,26,K,2,0,0,0,0,0,0,0,0,0,0,0,3,3,8,9,0,27,13.5,
5,Kyle Monangai,23,RB,11,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
6,D.J. Moore,28,WR,11,11,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
7,Caleb Williams,24,QB,11,11,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
8,Colston Loveland,21,TE,10,8,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
9,Brittain Brown,28,RB,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.0,
10,Luther Burden,22,WR,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
11,Cole Kmet,26,TE,10,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
12,Nahshon Wright,27,CB,11,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
13,Olamide Zaccheaus,28,WR,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
