header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Jordan Battle,25,S,11,11,3,6,0,4,4,0,0,0,0,0,0.0,82,35,47,1,0,0,
2,Chase Brown,25,RB,11,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
3,Orlando Brown Jr.,29,OT,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
4,Tee Higgins,26,WR,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
5,B.J. Hill,30,DT,11,11,0,0,0,0,0,0,0,0,0,0,2.0,41,19,22,3,4,0,
6,Daxton Hill,25,CB,11,11,1,0,0,0,4,0,0,0,0,0,0.0,68,45,23,2,0,0,
7,Amarius Mims,23,OT,11,11,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
8,Tedarrell Slaton,28,DT,11,11,0,0,0,0,0,0,0,0,0,0,0.0,35,13,22,1,4,0,
9,Geno Stone,26,S,11,11,2,57,1,32,3,0,0,0,0,0,1.0,80,46,34,2,3,0,
10,Ja'Marr Chase,25,WR,10,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
11,DJ Turner,25,CB,11,10,2,7,0,7,15,0,0,0,0,0,0.0,29,20,9,2,0,0,
12,Demetrius Knight,25,LB,11,9,1,0,0,0,5,0,0,0,0,0,0.0,78,41,37,2,2,0,
13,Drew Sample,29,TE,11,9,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
14,Trey Hendrickson,31,DE,7,7,0,0,0,0,1,1,0,0,0,0,4.0,16,11,5,3,8,0,
15,Jalen Rivers,23,G,11,7,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
16,Logan Wilson,29,LB,8,7,0,0,0,0,4,0,0,1,0,0,0.0,46,19,27,0,0,0,
17,Barrett Carter,23,LB,11,6,0,0,0,0,1,0,0,0,0,0,0.0,78,41,37,1,0,0,
18,Joe Flacco,40,QB,6,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
19,Joseph Ossai,25,DE,11,6,0,0,0,0,0,0,0,0,0,0,3.0,31,14,17,6,8,0,
20,Oren Burks,30,LB,11,5,0,0,0,0,1,1,0,0,0,0,0.0,40,14,26,1,0,0,
21,Noah Fant,28,TE,10,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
22,Myles Murphy,23,DE,11,4,0,0,0,0,1,0,0,0,0,0,2.5,31,15,16,2,5,0,
23,Shemar Stewart,22,DE,5,4,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,1,0,
24,Jake Browning,29,QB,5,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
25,Kris Jenkins,24,DT,11,3,0,0,0,0,1,0,0,0,0,0,1.5,30,15,15,2,3,0,
26,Josh Newton,25,CB,11,2,0,0,0,0,1,0,0,0,0,0,0.0,15,12,3,0,0,0,
27,Cam Taylor-Britt,26,CB,8,2,0,0,0,0,5,0,0,0,0,0,0.0,21,12,9,1,1,0,
28,Jalen Davis,29,CB,1,1,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,
29,Cam Grandy,25,TE,3,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
30,Tycen Anderson,26,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,17,7,10,0,0,0,
31,Tahj Brooks,23,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,
32,Howard Cross III,24,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
33,Joe Giles-Harris,28,LB,4,0,0,0,0,0,1,0,0,0,0,0,0.0,7,3,4,0,0,0,
34,Shaka Heyward,25,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,10,4,6,0,0,0,
35,DJ Ivey,25,CB,11,0,0,0,0,0,1,0,0,0,0,0,0.0,6,2,4,0,0,0,
36,McKinnley Jackson,24,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
37,Cedric Johnson,23,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,1,0,
38,Charlie Jones,27,WR,11,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
39,PJ Jules,24,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,14,8,6,1,0,0,
40,Mike Pennel,34,DT,8,0,0,0,0,0,0,0,0,0,0,0,0.0,15,4,11,1,0,0,
41,Samaje Perine,30,RB,9,0,0,0,0,0,0,0,1,0,0,0,0.0,6,1,5,0,0,0,
42,Cameron Sample,26,DE,9,0,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,1,2,0,
43,William Wagner,25,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
44,Marco Wilson,26,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
