header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Chase Brown,25,RB,11,11,145,626,2,35,50.3,37,4.3,56.9,13.2,57,41,252,6.1,1,9,36.8,21,3.7,22.9,71.9,4.4,186,4.7,878,3,2,
2,Ja'Marr Chase,25,WR,10,10,2,6,0,0,50.0,9,3.0,0.6,0.2,117,79,861,10.9,5,43,54.7,64,7.9,86.1,67.5,7.4,81,10.7,867,5,1,
3,Tee Higgins,26,WR,11,11,0,0,0,0,,,,0.0,0.0,70,40,575,14.4,7,28,51.4,44,3.6,52.3,57.1,8.2,40,14.4,575,7,0,
4,Andrei Iosivas,26,WR,11,5,3,14,0,0,66.7,5,4.7,1.3,0.3,42,23,317,13.8,1,16,40.5,37,2.1,28.8,54.8,7.5,26,12.7,331,1,0,
5,Noah Fant,28,TE,10,5,0,0,0,0,,,,0.0,0.0,35,31,265,8.5,3,12,68.6,25,3.1,26.5,88.6,7.6,31,8.5,265,3,2,
6,Samaje Perine,30,RB,9,0,32,198,1,15,65.6,32,6.2,22.0,3.6,9,7,30,4.3,0,2,33.3,16,0.8,3.3,77.8,3.3,39,5.8,228,1,1,
7,Mike Gesicki,30,TE,7,1,0,0,0,0,,,,0.0,0.0,22,12,96,8.0,0,6,45.5,15,1.7,13.7,54.5,4.4,12,8.0,96,0,0,
8,Tanner Hudson,31,TE,9,1,0,0,0,0,,,,0.0,0.0,13,11,92,8.4,1,3,61.5,33,1.2,10.2,84.6,7.1,11,8.4,92,1,0,
9,Mitchell Tinsley,26,WR,11,1,0,0,0,0,,,,0.0,0.0,12,5,78,15.6,2,4,41.7,27,0.5,7.1,41.7,6.5,5,15.6,78,2,0,
10,Jake Browning,29,QB,5,3,9,39,1,5,55.6,13,4.3,7.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,9,4.3,39,1,1,
11,Tahj Brooks,23,RB,11,0,9,28,0,0,33.3,7,3.1,2.5,0.8,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,9,3.1,28,0,0,
12,Drew Sample,29,TE,11,9,0,0,0,0,,,,0.0,0.0,10,6,24,4.0,1,2,20.0,16,0.5,2.2,60.0,2.4,6,4.0,24,1,0,
13,Joe Flacco,40,QB,6,6,10,18,1,5,50.0,13,1.8,3.0,1.7,0,0,0,,0,0,,,0.0,0.0,,,10,1.8,18,1,1,
14,Cam Grandy,25,TE,3,1,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,100.0,6,0.3,2.0,100.0,6.0,1,6.0,6,0,1,
15,Joe Burrow,29,QB,2,2,2,3,0,0,0.0,2,1.5,1.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,1.5,3,0,0,
16,Kendall Milton,23,RB,1,0,2,2,0,0,0.0,2,1.0,2.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,1.0,2,0,0,
17,Charlie Jones,27,WR,11,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
