header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,@,Cleveland Browns,17,16,11,141,95,46,,22,327,278,49,2,-2.91,-1.76,5.43
2,Sun,September 14,1:00PM ET,boxscore,W,,2-0,,Jacksonville Jaguars,31,27,24,350,302,48,3,21,400,261,139,2,6.63,-6.25,4.21
3,Sun,September 21,1:00PM ET,boxscore,L,,2-1,@,Minnesota Vikings,10,48,12,171,118,53,5,22,352,183,169,,-34.12,-8.33,2.65
4,Mon,September 29,8:15PM ET,boxscore,L,,2-2,@,Denver Broncos,3,28,9,159,106,53,,29,512,326,186,1,-10.95,-19.98,7.30
5,Sun,October 5,4:25PM ET,boxscore,L,,2-3,,Detroit Lions,24,37,21,322,237,85,3,23,365,247,118,1,2.71,-16.66,-1.68
6,Sun,October 12,4:25PM ET,boxscore,L,,2-4,@,Green Bay Packers,18,27,20,268,213,55,,24,409,256,153,1,5.46,-16.53,2.27
7,Thu,October 16,8:15PM ET,boxscore,W,,3-4,,Pittsburgh Steelers,33,31,27,470,328,142,,19,396,249,147,2,21.89,-17.32,-3.27
8,Sun,October 26,1:00PM ET,boxscore,L,,3-5,,New York Jets,38,39,24,398,217,181,,25,502,248,254,,19.56,-22.70,2.16
9,Sun,November 2,1:00PM ET,boxscore,L,,3-6,,Chicago Bears,42,47,26,495,449,46,3,30,576,293,283,,19.66,-32.63,12.53
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 16,1:00PM ET,boxscore,L,,3-7,@,Pittsburgh Steelers,12,34,17,297,192,105,2,22,343,232,111,,-14.01,-13.87,6.96
12,Sun,November 23,1:00PM ET,boxscore,L,,3-8,,New England Patriots,20,26,20,307,187,120,1,21,392,285,107,1,-4.54,-2.82,1.37
13,Thu,November 27,8:20PM ET,preview,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Buffalo Bills,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,Baltimore Ravens,,,,,,,,,,,,,,,
16,Sun,December 21,8:20PM ET,preview,,,,@,Miami Dolphins,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,Arizona Cardinals,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Cleveland Browns,,,,,,,,,,,,,,,
