header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Evan McPherson,26,K,11,0,0,0,0,0,0,0,0,0,0,0,25,25,17,20,0,76,6.9,
2,Tee Higgins,26,WR,11,11,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,44,4.0,
3,Ja'Marr Chase,25,WR,10,10,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,3.0,
4,Chase Brown,25,RB,11,11,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,20,1.8,
5,Noah Fant,28,TE,10,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
6,Mitchell Tinsley,26,WR,11,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
7,Jake Browning,29,QB,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.2,
8,Joe Flacco,40,QB,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
9,Tanner Hudson,31,TE,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
10,Andrei Iosivas,26,WR,11,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Charlie Jones,27,WR,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Samaje Perine,30,RB,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
13,Drew Sample,29,TE,11,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,Geno Stone,26,S,11,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
