header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Devin Bush Jr.,27,LB,11,11,1,23,1,23,5,1,0,1,0,0,2.0,75,42,33,6,4,0,
2,Maliek Collins,30,DT,11,11,0,0,0,0,0,0,0,1,0,0,6.5,24,15,9,7,12,0,
3,Myles Garrett,30,DE,11,11,0,0,0,0,0,3,0,0,0,0,18.0,44,33,11,26,27,0,
4,Mason Graham,22,DT,11,11,0,0,0,0,4,0,0,0,0,0,0.5,27,16,11,5,3,0,
5,Ronnie Hickman,24,S,11,11,2,31,0,16,3,0,0,0,0,0,0.0,68,32,36,1,0,0,
6,Jerry Jeudy,26,WR,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
7,Carson Schwesinger,22,LB,11,11,2,16,0,9,2,0,0,0,0,0,1.5,96,44,52,9,5,0,
8,Wyatt Teller,31,G,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
9,Denzel Ward,28,CB,11,11,1,13,0,13,8,0,0,0,0,0,0.0,32,26,6,2,0,0,
10,Grant Delpit,27,S,11,10,1,25,0,25,4,1,0,2,0,0,1.0,54,29,25,2,3,0,
11,Isaiah McGuire,24,DE,11,7,0,0,0,0,0,1,0,0,0,0,2.0,28,17,11,8,4,0,
12,Tyson Campbell,25,CB,6,6,1,34,1,34,7,1,0,0,0,0,0.0,30,18,12,0,1,0,
13,Greg Newsome II,25,CB,5,5,0,0,0,0,3,0,0,0,0,0,0.0,23,18,5,2,0,0,
14,Jerome Baker,29,LB,11,4,0,0,0,0,0,1,0,0,0,0,1.5,22,6,16,2,1,0,
15,Joe Flacco,40,QB,4,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
16,Myles Harden,24,CB,11,4,0,0,0,0,2,0,0,0,0,0,0.0,32,21,11,1,0,0,
17,Alex Wright,25,DE,9,4,0,0,0,0,0,1,0,0,0,0,3.0,24,16,8,9,3,0,
18,Malachi Corley,23,WR,7,2,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
19,Mohamoud Diabate,24,LB,11,2,0,0,0,0,0,1,0,1,0,0,0.0,19,10,9,1,0,0,
20,Rayshawn Jenkins,31,S,11,2,1,9,0,9,1,0,0,1,0,0,0.0,30,13,17,0,0,0,
21,Blake Whiteheart,25,TE,11,2,0,0,0,0,0,0,1,1,0,0,0.0,5,1,4,0,0,0,
22,Shedeur Sanders,23,QB,2,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
23,Tre Avery,28,CB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,7,2,5,0,0,0,
24,DeAndre Carter,32,WR,4,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
25,Kaden Davis,27,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
26,Chris Edmonds,24,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,
27,Michael Hall,22,DT,4,0,0,0,0,0,0,0,0,0,0,0,1.5,5,3,2,2,4,0,
28,Shelby Harris,34,DT,11,0,0,0,0,0,2,0,0,0,0,0,0.5,17,7,10,5,3,0,
29,Adin Huntington,23,DT,10,0,0,0,0,0,0,0,0,0,0,0,0.5,12,5,7,0,1,0,
30,Dom Jones,25,CB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
31,Easton Mascarenas-Arnold,23,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,0,0,
32,Donovan McMillon,23,S,11,0,0,0,0,0,0,0,0,0,0,0,1.0,10,5,5,1,1,0,
33,Cameron Mitchell,24,CB,2,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,1,0,0,0,
34,D'Angelo Ross,29,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
35,Rex Sunahara,29,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,
36,Cameron Thomas,25,DE,11,0,0,0,0,0,0,0,0,0,0,0,2.5,18,4,14,1,6,0,
37,Joe Tryon-Shoyinka,26,DE,8,0,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,1,0,
