header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Quinshon Judkins,22,RB,10,10,173,667,7,40,41.6,46,3.9,66.7,17.3,20,14,70,5.0,0,3,25.0,18,1.4,7.0,70.0,3.5,187,3.9,737,7,0,
2,Harold Fannin,21,TE,11,9,4,10,0,1,25.0,4,2.5,0.9,0.4,69,48,462,9.6,2,21,39.1,25,4.4,42.0,69.6,6.7,52,9.1,472,2,0,
3,Jerry Jeudy,26,WR,11,11,0,0,0,0,,,,0.0,0.0,76,32,395,12.3,1,21,34.2,39,2.9,35.9,42.1,5.2,32,12.3,395,1,1,
4,David Njoku,29,TE,10,9,0,0,0,0,,,,0.0,0.0,45,30,288,9.6,3,10,46.7,23,3.0,28.8,66.7,6.4,30,9.6,288,3,0,
5,Dylan Sampson,21,RB,11,1,38,89,0,7,28.9,26,2.3,8.1,3.5,28,23,195,8.5,2,7,57.1,66,2.1,17.7,82.1,7.0,61,4.7,284,2,0,
6,Isaiah Bond,21,WR,10,2,2,17,0,0,100.0,9,8.5,1.7,0.2,33,13,181,13.9,0,6,27.3,52,1.3,18.1,39.4,5.5,15,13.2,198,0,0,
7,Cedric Tillman,25,WR,7,6,0,0,0,0,,,,0.0,0.0,31,17,174,10.2,2,10,45.2,26,2.4,24.9,54.8,5.6,17,10.2,174,2,0,
8,Jerome Ford,26,RB,11,0,24,73,0,5,45.8,12,3.0,6.6,2.2,26,21,76,3.6,0,2,26.9,17,1.9,6.9,80.8,2.9,45,3.3,149,0,0,
9,Jamari Thrash,25,WR,9,1,0,0,0,0,,,,0.0,0.0,15,10,107,10.7,0,5,53.3,23,1.1,11.9,66.7,7.1,10,10.7,107,0,0,
10,Malachi Corley,23,WR,7,2,5,68,0,4,80.0,31,13.6,9.7,0.7,6,5,34,6.8,0,1,16.7,17,0.7,4.9,83.3,5.7,10,10.2,102,0,0,
11,Dillon Gabriel,25,QB,8,6,14,86,0,4,42.9,19,6.1,10.8,1.8,0,0,0,,0,0,,,0.0,0.0,,,14,6.1,86,0,0,
12,Gage Larvadain,23,WR,7,0,1,3,0,0,0.0,3,3.0,0.4,0.1,6,2,22,11.0,0,0,0.0,14,0.3,3.1,33.3,3.7,3,8.3,25,0,0,
13,Shedeur Sanders,23,QB,2,1,4,15,0,1,50.0,6,3.8,7.5,2.0,0,0,0,,0,0,,,0.0,0.0,,,4,3.8,15,0,1,
14,Joe Flacco,40,QB,4,4,6,13,0,2,33.3,8,2.2,3.3,1.5,0,0,0,,0,0,,,0.0,0.0,,,6,2.2,13,0,2,
15,Blake Whiteheart,25,TE,11,2,0,0,0,0,,,,0.0,0.0,3,2,4,2.0,0,0,0.0,4,0.2,0.4,66.7,1.3,2,2.0,4,0,1,
16,Raheim Sanders,23,RB,1,0,3,3,1,2,66.7,2,1.0,3.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,1.0,3,1,0,
17,Luke Wypler,24,C,11,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
