header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,,Cincinnati Bengals,16,17,22,327,278,49,2,11,141,95,46,,1.76,2.91,-5.43
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,@,Baltimore Ravens,17,41,17,322,207,115,2,14,242,197,45,,-15.65,-2.28,-5.44
3,Sun,September 21,1:00PM ET,boxscore,W,,1-2,,Green Bay Packers,13,10,15,221,125,96,1,14,230,149,81,1,-5.50,7.43,1.92
4,Sun,September 28,1:00PM ET,boxscore,L,,1-3,@,Detroit Lions,10,34,16,249,170,79,3,16,277,168,109,1,-19.23,2.66,-6.68
5,Sun,October 5,9:30AM ET,boxscore,L,,1-4,,Minnesota Vikings,17,21,17,322,182,140,,20,349,252,97,2,-3.75,-4.01,4.97
6,Sun,October 12,1:00PM ET,boxscore,L,,1-5,@,Pittsburgh Steelers,9,23,20,248,183,65,,19,335,235,100,,-7.61,-6.11,2.19
7,Sun,October 19,1:00PM ET,boxscore,W,,2-5,,Miami Dolphins,31,6,15,206,102,104,,12,219,120,99,4,2.83,30.87,-6.53
8,Sun,October 26,1:00PM ET,boxscore,L,,2-6,@,New England Patriots,13,32,12,213,145,68,2,23,422,245,177,2,-14.67,-6.52,-0.80
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 9,1:00PM ET,boxscore,L,,2-7,@,New York Jets,20,27,23,278,120,158,,12,169,42,127,1,-3.23,8.07,-12.87
11,Sun,November 16,4:25PM ET,boxscore,L,,2-8,,Baltimore Ravens,16,23,10,187,81,106,1,17,351,167,184,3,-21.35,4.21,10.40
12,Sun,November 23,4:05PM ET,boxscore,W,,3-8,@,Las Vegas Raiders,24,10,11,270,206,64,2,19,268,208,60,1,-7.48,16.61,1.96
13,Sun,November 30,1:00PM ET,preview,,,,,San Francisco 49ers,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Tennessee Titans,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,@,Chicago Bears,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,Buffalo Bills,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,
