header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Andre Szmyt,27,K,11,0,0,0,0,0,0,0,0,0,0,0,18,19,16,19,0,66,6.0,
2,Quinshon Judkins,22,RB,10,10,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,4.2,
3,David Njoku,29,TE,10,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
4,Harold Fannin,21,TE,11,9,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
5,Dylan Sampson,21,RB,11,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
6,Cedric Tillman,25,WR,7,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.7,
7,Devin Bush Jr.,27,LB,11,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.5,
8,Tyson Campbell,25,CB,6,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1.0,
9,Jerry Jeudy,26,WR,11,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Raheim Sanders,23,RB,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6.0,
