header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Tanor Bortolini,23,C,11,11,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
2,Camryn Bynum,27,S,11,11,2,14,0,14,5,1,0,1,0,0,1.0,48,26,22,1,0,0,
3,Nick Cross,24,S,11,11,1,0,0,0,3,0,0,0,0,0,2.5,77,46,31,4,5,0,
4,Zaire Franklin,29,LB,11,11,0,0,0,0,4,1,0,0,0,0,2.0,74,38,36,4,6,0,
5,Daniel Jones,28,QB,11,11,0,0,0,0,0,0,8,2,0,0,0.0,0,0,0,0,0,0,
6,Bernhard Raimann,28,T,11,11,0,0,0,0,0,0,0,1,13,0,0.0,0,0,0,0,0,0,
7,Grover Stewart,32,DT,11,11,1,3,0,3,3,0,0,0,0,0,0.5,39,16,23,4,4,0,
8,Jonathan Taylor,26,RB,11,11,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
9,Laiatu Latu,24,DE,10,10,3,9,0,6,4,0,0,0,0,0,6.0,32,17,15,6,15,0,
10,Kwity Paye,27,DE,11,10,0,0,0,0,0,0,0,0,0,0,3.5,25,10,15,4,8,0,
11,DeForest Buckner,31,DT,9,9,0,0,0,0,0,0,0,0,0,0,4.0,42,26,16,9,13,0,
12,Tyler Warren,23,TE,11,8,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13,Mekhi Blackmon,26,CB,11,7,2,41,0,32,5,0,0,0,0,0,1.0,46,36,10,2,0,0,
14,Josh Downs,24,WR,10,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15,Germaine Pratt,29,LB,6,6,0,0,0,0,3,0,0,1,8,0,0.0,58,35,23,4,0,0,
16,Joe Bachie,27,LB,5,5,0,0,0,0,1,0,0,0,0,0,0.0,26,11,15,0,0,0,
17,Neville Gallimore,28,DT,11,5,0,0,0,0,2,0,0,0,0,0,3.5,25,11,14,4,6,0,
18,Charvarius Ward,29,CB,5,5,0,0,0,0,4,0,0,1,0,0,0.0,16,11,5,0,0,0,
19,Xavien Howard,32,CB,4,4,0,0,0,0,0,0,0,1,2,0,0.0,11,7,4,0,0,0,
20,Kenny Moore,30,CB,8,4,1,32,1,32,5,2,0,0,0,0,1.5,31,18,13,1,2,0,
21,Johnathan Edwards,24,CB,9,3,0,0,0,0,2,0,0,0,0,0,0.0,16,12,4,0,0,0,
