header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Jonathan Taylor,26,RB,11,11,205,1197,15,60,57.1,83,5.8,108.8,18.6,35,32,268,8.4,2,11,62.9,43,2.9,24.4,91.4,7.7,237,6.2,1465,17,1,
2,Tyler Warren,23,TE,11,8,4,6,1,2,50.0,3,1.5,0.5,0.4,74,55,662,12.0,3,32,60.8,41,5.0,60.2,74.3,8.9,59,11.3,668,4,0,
3,Alec Pierce,25,WR,9,8,0,0,0,0,,,,0.0,0.0,54,29,611,21.1,1,25,53.7,50,3.2,67.9,53.7,11.3,29,21.1,611,1,0,
4,Michael Pittman Jr.,28,WR,11,10,0,0,0,0,,,,0.0,0.0,78,59,607,10.3,7,36,64.1,27,5.4,55.2,75.6,7.8,59,10.3,607,7,0,
5,Josh Downs,24,WR,10,6,0,0,0,0,,,,0.0,0.0,54,38,326,8.6,3,23,55.6,29,3.8,32.6,70.4,6.0,38,8.6,326,3,1,
6,Daniel Jones,28,QB,11,11,43,159,5,19,53.5,19,3.7,14.5,3.9,0,0,0,,0,0,,,0.0,0.0,,,43,3.7,159,5,8,
7,Adonai Mitchell,23,WR,8,1,0,0,0,0,,,,0.0,0.0,16,9,152,16.9,0,2,37.5,75,1.1,19.0,56.3,9.5,9,16.9,152,0,1,
8,Ashton Dulin,28,WR,10,2,3,44,0,2,100.0,22,14.7,4.4,0.3,8,5,106,21.2,0,4,50.0,48,0.5,10.6,62.5,13.3,8,18.8,150,0,0,
9,Ameer Abdullah,32,RB,7,0,8,40,1,3,62.5,14,5.0,5.7,1.1,6,5,30,6.0,0,0,16.7,9,0.7,4.3,83.3,5.0,13,5.4,70,1,0,
10,DJ Giddens,22,RB,7,0,18,66,0,3,38.9,12,3.7,9.4,2.6,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,18,3.7,66,0,0,
11,Mo Alie-Cox,32,TE,11,5,0,0,0,0,,,,0.0,0.0,9,5,59,11.8,0,2,55.6,20,0.5,5.4,55.6,6.6,5,11.8,59,0,0,
12,Tyler Goodson,25,RB,6,0,5,12,0,0,20.0,4,2.4,2.0,0.8,3,2,8,4.0,0,0,33.3,8,0.3,1.3,66.7,2.7,7,2.9,20,0,0,
13,Andrew Ogletree,27,TE,11,3,0,0,0,0,,,,0.0,0.0,3,2,8,4.0,1,1,66.7,4,0.2,0.7,66.7,2.7,2,4.0,8,1,0,
14,Anthony Richardson,23,QB,2,0,4,-1,0,1,25.0,2,-0.3,-0.5,2.0,1,1,9,9.0,0,1,100.0,9,0.5,4.5,100.0,9.0,5,1.6,8,0,0,
15,Anthony Gould,24,WR,9,1,0,0,0,0,,,,0.0,0.0,1,1,3,3.0,0,0,0.0,3,0.1,0.3,100.0,3.0,1,3.0,3,0,0,
16,Rodney Thomas II,27,S,11,0,1,3,0,1,100.0,3,3.0,0.3,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,3.0,3,0,0,
17,Riley Leonard,23,QB,1,0,1,1,0,0,0.0,1,1.0,1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,1.0,1,0,0,
18,Ulysses Bentley,25,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
19,Bernhard Raimann,28,T,11,11,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
