header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,,Miami Dolphins,33,8,27,418,262,156,,12,211,133,78,3,19.66,3.89,-0.45
2,Sun,September 14,4:05PM ET,boxscore,W,,2-0,,Denver Broncos,29,28,26,473,306,167,,23,324,206,118,1,15.36,-15.48,0.41
3,Sun,September 21,1:00PM ET,boxscore,W,,3-0,@,Tennessee Titans,41,20,22,365,228,137,,21,282,196,86,1,22.44,3.34,-2.91
4,Sun,September 28,4:05PM ET,boxscore,L,,3-1,@,Los Angeles Rams,20,27,17,333,248,85,3,24,462,360,102,1,-2.32,-9.32,4.14
5,Sun,October 5,1:00PM ET,boxscore,W,,4-1,,Las Vegas Raiders,40,6,24,317,221,96,,22,296,190,106,2,24.64,5.21,-4.69
6,Sun,October 12,1:00PM ET,boxscore,W,,5-1,,Arizona Cardinals,31,27,25,355,205,150,1,25,400,312,88,1,14.77,-12.05,-0.87
7,Sun,October 19,4:05PM ET,boxscore,W,,6-1,@,Los Angeles Chargers,38,24,24,401,281,120,,25,445,391,54,2,26.79,-15.87,2.28
8,Sun,October 26,4:25PM ET,boxscore,W,,7-1,,Tennessee Titans,38,14,21,420,256,164,,20,341,228,113,1,22.55,-4.18,7.97
9,Sun,November 2,1:00PM ET,boxscore,L,,7-2,@,Pittsburgh Steelers,20,27,26,368,313,55,6,17,225,187,38,1,-1.99,3.41,-10.13
10,Sun,November 9,9:30AM ET,boxscore,W,OT,8-2,,Atlanta Falcons,31,25,25,519,196,323,2,22,290,150,140,1,11.04,-2.70,-2.47
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 23,1:00PM ET,boxscore,L,OT,8-3,@,Kansas City Chiefs,20,23,10,255,181,74,,33,494,346,148,2,-1.86,-8.37,8.69
13,Sun,November 30,1:00PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,@,Seattle Seahawks,,,,,,,,,,,,,,,
16,Mon,December 22,8:15PM ET,preview,,,,,San Francisco 49ers,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Houston Texans,,,,,,,,,,,,,,,
