header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Jonathan Taylor,26,RB,11,11,15,2,0,0,0,0,0,17,1,0,0,0,0,0,0,104,9.5,
2,Spencer Shrader,26,K,5,0,0,0,0,0,0,0,0,0,0,0,14,14,13,14,0,53,10.6,
3,Michael Badgley,30,K,6,0,0,0,0,0,0,0,0,0,0,0,17,19,9,10,0,44,7.3,
4,Michael Pittman Jr.,28,WR,11,10,0,7,0,0,0,0,0,7,1,0,0,0,0,0,0,44,4.0,
5,Daniel Jones,28,QB,11,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
6,Tyler Warren,23,TE,11,8,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
7,Josh Downs,24,WR,10,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.8,
8,Ameer Abdullah,32,RB,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
9,Kenny Moore,30,CB,8,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.8,
10,Andrew Ogletree,27,TE,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
11,Alec Pierce,25,WR,9,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
