header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Budda Baker,29,S,11,11,1,0,0,0,3,0,0,1,1,0,0.5,78,35,43,1,1,0,
2,Calais Campbell,39,DL,11,11,0,0,0,0,2,0,0,0,0,0,5.5,30,18,12,8,14,0,
3,Hjalte Froholdt,29,OL,11,11,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,
4,Josh Sweat,28,OLB,11,11,0,0,0,0,2,3,0,1,2,0,9.0,21,16,5,11,15,0,
5,Jalen Thompson,27,S,11,11,0,0,0,0,4,1,0,0,0,0,1.0,72,43,29,2,0,0,
6,Dalvin Tomlinson,31,DT,11,11,0,0,0,0,1,0,0,0,0,0,0.0,18,10,8,2,2,0,
7,Akeem Davis-Gaither,28,LB,11,9,1,0,0,0,4,1,0,1,0,0,0.0,75,35,40,2,1,0,
8,Max Melton,23,CB,9,8,0,0,0,0,5,0,0,0,0,0,0.0,31,21,10,1,0,0,
9,Darius Robinson,24,DL,9,8,0,0,0,0,0,0,0,0,0,0,1.0,18,9,9,2,1,0,
10,Mack Wilson,27,LB,8,8,1,9,0,9,6,1,0,0,0,0,0.0,60,34,26,3,1,0,
11,Baron Browning,26,OLB,9,7,1,4,0,4,1,0,0,1,0,0,2.0,16,6,10,3,5,0,
12,Jacoby Brissett,33,QB,8,6,0,0,0,0,0,0,4,1,-2,0,0.0,0,0,0,0,0,0,
13,Garrett Williams,24,CB,6,6,1,0,0,0,5,1,0,0,0,0,0.0,25,15,10,0,0,0,
14,Elijah Higgins,25,TE,11,5,0,0,0,0,0,0,1,0,0,0,0.0,7,3,4,0,0,0,
15,Kyler Murray,28,QB,5,5,0,0,0,0,0,0,1,0,-4,0,0.0,0,0,0,0,0,0,
16,Denzel Burke,23,CB,11,4,2,4,0,4,7,0,0,0,0,0,0.0,27,18,9,1,0,0,
17,Will Johnson,22,CB,6,4,0,0,0,0,6,1,0,0,0,0,0.0,19,14,5,0,0,0,
18,Zaven Collins,26,OLB,11,3,0,0,0,0,0,0,0,2,3,1,1.0,27,17,10,4,8,0,
19,James Conner,30,RB,3,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
20,Greg Dortch,27,WR,11,3,0,0,0,0,0,0,1,1,0,0,0.0,1,0,1,0,0,0,
21,Cody Simon,23,LB,10,3,0,0,0,0,1,1,0,0,0,0,0.0,34,14,20,1,0,0,
22,Dante Stills,26,DL,11,3,0,0,0,0,1,0,0,0,0,0,0.0,24,12,12,1,0,0,
23,Dadrion Taylor-Demerson,24,S,9,2,2,18,0,18,5,0,1,0,0,0,0.0,36,21,15,0,0,0,
24,Trey Benson,23,RB,4,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
25,Pharaoh Brown,31,TE,2,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
26,Kei'Trel Clark,24,CB,10,1,0,0,0,0,2,1,0,0,0,0,0.0,24,16,8,1,0,0,
27,Travis Vokolek,27,TE,5,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
28,Jordan Burch,24,OLB,11,0,0,0,0,0,1,0,0,0,0,0,1.0,14,5,9,1,1,0,
29,Zachary Carter,26,DT,2,0,0,0,0,0,0,1,0,0,0,0,0.0,5,2,3,0,0,0,
30,L.J. Collier,30,DL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
31,Kitan Crawford,24,S,10,0,0,0,0,0,1,0,0,0,0,0,0.0,9,5,4,0,0,0,
32,Josiah Deguara,28,TE,6,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
33,Emari Demercado,26,RB,9,0,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,
34,Simi Fehoko,28,WR,8,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,
35,Anthony Goodlow,25,DL,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,1,1,0,
36,Darren Hall,25,CB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
37,PJ Mustipher,26,DT,11,0,0,0,0,0,1,0,0,0,0,0,0.0,19,9,10,1,0,0,
38,Bilal Nichols,29,DL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
39,Walter Nolen,22,DL,4,0,0,0,0,0,1,0,0,1,7,1,1.0,8,7,1,4,3,0,
40,BJ Ojulari,23,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
41,Owen Pappoe,25,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,7,2,5,0,0,0,
