header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Trey McBride,26,TE,11,11,0,0,0,0,,,,0.0,0.0,109,80,797,10.0,7,44,63.3,31,7.3,72.5,73.4,7.3,80,10.0,797,7,0,
2,Michael Wilson,25,WR,11,7,0,0,0,0,,,,0.0,0.0,71,47,534,11.4,1,26,56.3,50,4.3,48.5,66.2,7.5,47,11.4,534,1,0,
3,Marvin Harrison Jr.,23,WR,9,9,0,0,0,0,,,,0.0,0.0,62,34,525,15.4,4,25,50.0,45,3.8,58.3,54.8,8.5,34,15.4,525,4,0,
4,Emari Demercado,26,RB,9,0,31,241,0,6,41.9,71,7.8,26.8,3.4,12,8,64,8.0,1,2,33.3,34,0.9,7.1,66.7,5.3,39,7.8,305,1,1,
5,Zonovan Knight,24,RB,9,5,63,193,4,16,50.8,17,3.1,21.4,7.0,22,16,106,6.6,0,7,45.5,20,1.8,11.8,72.7,4.8,79,3.8,299,4,0,
6,Michael Carter,26,RB,7,2,45,135,1,9,46.7,11,3.0,19.3,6.4,22,17,129,7.6,0,6,59.1,18,2.4,18.4,77.3,5.9,62,4.3,264,1,0,
7,Trey Benson,23,RB,4,1,29,160,0,4,34.5,52,5.5,40.0,7.3,16,13,64,4.9,0,2,37.5,12,3.3,16.0,81.3,4.0,42,5.3,224,0,0,
8,Greg Dortch,27,WR,11,3,7,15,1,1,57.1,9,2.1,1.4,0.6,31,27,192,7.1,3,9,41.9,39,2.5,17.5,87.1,6.2,34,6.1,207,4,1,
9,Zay Jones,30,WR,8,0,0,0,0,0,,,,0.0,0.0,18,12,183,15.3,0,7,44.4,43,1.5,22.9,66.7,10.2,12,15.3,183,0,0,
10,Kyler Murray,28,QB,5,5,29,173,1,10,41.4,30,6.0,34.6,5.8,0,0,0,,0,0,,,0.0,0.0,,,29,6.0,173,1,1,
11,Elijah Higgins,25,TE,11,5,0,0,0,0,,,,0.0,0.0,20,16,162,10.1,0,7,45.0,27,1.5,14.7,80.0,8.1,16,10.1,162,0,1,
12,James Conner,30,RB,3,3,32,95,1,7,43.8,12,3.0,31.7,10.7,9,8,38,4.8,1,4,55.6,18,2.7,12.7,88.9,4.2,40,3.3,133,2,1,
13,Jacoby Brissett,33,QB,8,6,24,100,1,11,54.2,15,4.2,12.5,3.0,0,0,0,,0,0,,,0.0,0.0,,,24,4.2,100,1,4,
14,Xavier Weaver,25,WR,6,1,0,0,0,0,,,,0.0,0.0,7,3,24,8.0,0,0,14.3,9,0.5,4.0,42.9,3.4,3,8.0,24,0,0,
15,Tip Reiman,24,TE,4,3,0,0,0,0,,,,0.0,0.0,5,3,18,6.0,0,1,40.0,10,0.8,4.5,60.0,3.6,3,6.0,18,0,0,
16,Josiah Deguara,28,TE,6,0,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,100.0,6,0.2,1.0,100.0,6.0,1,6.0,6,0,0,
17,Andre Baccellia,28,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,5,5.0,0,0,100.0,5,0.5,2.5,100.0,5.0,1,5.0,5,0,0,
18,D'Ernest Johnson,29,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
