header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Chad Ryland,26,K,11,0,0,0,0,0,0,0,0,0,0,0,25,25,17,21,0,76,6.9,
2,Trey McBride,26,TE,11,11,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,3.8,
3,Marvin Harrison Jr.,23,WR,9,9,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.9,
4,Greg Dortch,27,WR,11,3,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
5,Zonovan Knight,24,RB,9,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.7,
6,James Conner,30,RB,3,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,4.0,
7,Jacoby Brissett,33,QB,8,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.8,
8,Michael Carter,26,RB,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
9,Zaven Collins,26,OLB,11,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Emari Demercado,26,RB,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
11,Kyler Murray,28,QB,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.2,
12,Walter Nolen,22,DL,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1.5,
13,Michael Wilson,25,WR,11,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
