header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Kenny Clark,30,DT,11,11,0,0,0,0,0,0,0,0,0,0,3.0,24,13,11,5,6,0,
2,Kenneth Murray,27,MLB,11,11,0,0,0,0,2,0,0,1,0,0,1.0,68,34,34,4,2,0,
3,Osa Odighizuwa,27,DT,11,11,0,0,0,0,0,0,0,0,0,0,3.0,30,13,17,5,16,0,
4,Dak Prescott,32,QB,11,11,0,0,0,0,0,0,4,3,-4,0,0.0,0,0,0,0,0,0,
5,Javonte Williams,25,RB,11,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
6,George Pickens,24,WR,11,10,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
7,DaRon Bland,26,CB,9,9,1,68,1,68,5,0,0,0,0,0,0.0,59,36,23,2,0,0,
8,Donovan Wilson,30,S,9,9,2,21,0,21,4,0,0,0,0,0,0.0,44,28,16,0,0,0,
9,Dante Fowler,31,DE,11,8,0,0,0,0,3,0,0,0,0,0,2.0,9,7,2,3,9,0,
10,Kaiir Elam,24,CB,10,7,0,0,0,0,1,0,0,0,0,0,0.0,29,19,10,0,0,0,
11,Jake Ferguson,26,TE,11,7,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
12,Brock Hoffman,26,C,11,6,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13,Malik Hooker,29,S,6,6,0,0,0,0,1,0,0,0,0,0,0.0,28,16,12,1,0,0,
14,Jack Sanborn,25,MLB,6,5,0,0,0,0,1,0,0,0,0,0,0.0,34,16,18,1,0,0,
15,Sam Williams,26,DE,11,5,0,0,0,0,1,1,0,1,0,0,1.0,18,15,3,3,3,0,
16,Trevon Diggs,27,CB,6,4,0,0,0,0,0,0,0,0,0,0,0.0,18,13,5,1,0,0,
17,Shemar James,21,LB,8,4,0,0,0,0,0,1,0,0,0,0,1.0,58,27,31,2,4,0,
18,Marist Liufau,24,LB,11,4,0,0,0,0,0,1,0,0,0,0,1.0,24,15,9,1,2,0,
19,Luke Schoonmaker,27,TE,11,4,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
20,Brevyn Spann-Ford,26,TE,11,4,0,0,0,0,0,0,0,0,0,0,0.0,12,4,8,0,0,0,
21,Markquese Bell,26,S,11,3,1,24,0,24,3,0,0,0,0,0,0.0,24,12,12,0,0,0,
22,Jadeveon Clowney,32,DE,8,3,0,0,0,0,3,0,0,1,0,0,2.0,21,10,11,3,2,0,
23,Donovan Ezeiruaku,22,DE,11,3,0,0,0,0,0,1,0,0,0,0,2.0,28,17,11,8,10,1,
24,Marshawn Kneeland,24,DE,7,3,0,0,0,0,0,0,0,0,0,0,1.0,12,6,6,3,1,0,
25,Juanyeh Thomas,25,S,7,3,0,0,0,0,0,0,0,0,0,0,0.0,26,14,12,0,0,0,
26,Caelen Carson,23,CB,5,2,0,0,0,0,2,0,0,0,0,0,0.0,7,6,1,0,0,0,
27,Damone Clark,25,LB,8,2,0,0,0,0,0,0,0,0,0,0,0.0,14,7,7,0,0,0,
28,Ryan Flournoy,26,WR,11,2,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
29,Hunter Luepke,25,RB,11,2,0,0,0,0,0,0,0,0,0,0,0.0,10,4,6,0,0,0,
30,DeMarvion Overshown,25,LB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,1,0,0,
31,KaVontae Turpin,29,WR,9,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
32,Quinnen Williams,28,DT,2,2,0,0,0,0,0,0,0,0,0,0,1.5,5,2,3,2,6,0,
33,Trikweze Bridges,25,CB,10,1,1,7,0,7,2,0,0,0,0,0,0.0,13,12,1,0,0,0,
34,Alijah Clark,22,DB,6,1,0,0,0,0,0,1,0,0,0,0,0.0,15,8,7,0,0,0,
35,Reddy Steward,24,CB,11,1,0,0,0,0,1,1,0,0,0,0,1.0,41,27,14,4,1,0,
36,Solomon Thomas,30,DT,10,1,0,0,0,0,1,0,0,0,0,0,0.0,21,8,13,2,1,0,
37,Corey Ballentine,29,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
38,Jaydon Blue,21,RB,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
39,Jalen Brooks,25,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Parris Campbell,28,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
41,Zion Childress,23,DB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
42,Malik Davis,27,RB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
43,Princeton Fant,26,,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
44,C.J. Goodwin,35,CB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,12,6,6,0,0,0,
45,James Houston,27,DE,11,0,0,0,0,0,0,1,0,1,0,0,4.5,22,12,10,5,6,0,
46,Jalen Moreno-Cropper,24,WR,3,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
47,Shavon Revel,24,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
48,Robert Rochell,27,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
49,Miles Sanders,28,RB,4,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
50,Trent Sieg,30,LS,11,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,
51,Mazi Smith,24,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
52,Jay Toia,22,DT,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,1,0,
53,Logan Wilson,29,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
