header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,George Pickens,24,WR,11,10,0,0,0,0,,,,0.0,0.0,92,67,1054,15.7,8,57,71.7,45,6.1,95.8,72.8,11.5,67,15.7,1054,8,2,
2,Javonte Williams,25,RB,11,11,181,896,8,49,55.8,66,5.0,81.5,16.5,39,28,107,3.8,1,5,33.3,11,2.5,9.7,71.8,2.7,209,4.8,1003,9,2,
3,CeeDee Lamb,26,WR,8,7,1,2,0,0,0.0,2,2.0,0.3,0.1,72,44,632,14.4,2,25,50.0,74,5.5,79.0,61.1,8.8,45,14.1,634,2,0,
4,Jake Ferguson,26,TE,11,7,1,1,0,0,0.0,1,1.0,0.1,0.1,77,65,460,7.1,7,23,53.2,26,5.9,41.8,84.4,6.0,66,7.0,461,7,2,
5,KaVontae Turpin,29,WR,9,2,9,30,0,2,66.7,7,3.3,3.3,1.0,26,17,232,13.6,1,11,46.2,48,1.9,25.8,65.4,8.9,26,10.1,262,1,1,
6,Ryan Flournoy,26,WR,11,2,4,25,0,2,50.0,12,6.3,2.3,0.4,26,17,200,11.8,2,13,61.5,46,1.5,18.2,65.4,7.7,21,10.7,225,2,0,
7,Jalen Tolbert,26,WR,10,6,0,0,0,0,,,,0.0,0.0,25,14,172,12.3,1,9,44.0,35,1.4,17.2,56.0,6.9,14,12.3,172,1,0,
8,Miles Sanders,28,RB,4,0,20,117,1,5,50.0,49,5.9,29.3,5.0,8,8,30,3.8,0,0,37.5,9,2.0,7.5,100.0,3.8,28,5.3,147,1,1,
9,Dak Prescott,32,QB,11,11,38,126,2,9,42.1,14,3.3,11.5,3.5,0,0,0,,0,0,,,0.0,0.0,,,38,3.3,126,2,4,
10,Hunter Luepke,25,RB,11,2,3,13,0,2,66.7,6,4.3,1.2,0.3,9,8,63,7.9,1,4,44.4,15,0.7,5.7,88.9,7.0,11,6.9,76,1,0,
11,Jaydon Blue,21,RB,4,0,22,65,0,3,36.4,14,3.0,16.3,5.5,1,1,5,5.0,0,0,0.0,5,0.3,1.3,100.0,5.0,23,3.0,70,0,1,
12,Luke Schoonmaker,27,TE,11,4,0,0,0,0,,,,0.0,0.0,16,8,63,7.9,0,3,37.5,14,0.7,5.7,50.0,3.9,8,7.9,63,0,0,
13,Malik Davis,27,RB,5,0,10,50,0,3,50.0,21,5.0,10.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,10,5.0,50,0,0,
14,Brevyn Spann-Ford,26,TE,11,4,0,0,0,0,,,,0.0,0.0,6,5,22,4.4,1,1,50.0,9,0.5,2.0,83.3,3.7,5,4.4,22,1,0,
