header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Thu,September 4,8:20PM ET,boxscore,L,,0-1,@,Philadelphia Eagles,20,24,22,307,188,119,1,20,302,144,158,,10.85,-13.04,-2.69
2,Sun,September 14,1:00PM ET,boxscore,W,OT,1-1,,New York Giants,40,37,32,478,343,135,1,22,506,422,84,1,23.76,-17.12,-1.51
3,Sun,September 21,4:25PM ET,boxscore,L,,1-2,@,Chicago Bears,14,31,23,396,275,121,4,19,385,298,87,,-0.59,-17.62,2.74
4,Sun,September 28,8:20PM ET,boxscore,T,OT,1-2-1,,Green Bay Packers,40,40,26,436,319,117,,32,489,325,164,1,23.86,-27.91,0.46
5,Sun,October 5,1:00PM ET,boxscore,W,,2-2-1,@,New York Jets,37,22,22,416,236,180,,25,378,234,144,1,18.19,-0.46,-0.46
6,Sun,October 12,1:00PM ET,boxscore,L,,2-3-1,@,Carolina Panthers,27,30,15,292,261,31,,27,410,194,216,1,12.35,-14.85,-0.96
7,Sun,October 19,4:25PM ET,boxscore,W,,3-3-1,,Washington Commanders,44,22,21,409,257,152,,18,341,205,136,2,17.98,10.68,-4.95
8,Sun,October 26,4:25PM ET,boxscore,L,,3-4-1,@,Denver Broncos,24,44,24,339,231,108,2,25,426,247,179,1,3.47,-26.42,4.07
9,Mon,November 3,8:15PM ET,boxscore,L,,3-5-1,,Arizona Cardinals,17,27,22,333,210,123,3,23,340,221,119,,-2.98,-9.38,3.86
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Mon,November 17,8:15PM ET,boxscore,W,,4-5-1,@,Las Vegas Raiders,33,16,24,381,267,114,1,17,236,209,27,1,9.25,8.17,0.43
12,Sun,November 23,4:25PM ET,boxscore,W,,5-5-1,,Philadelphia Eagles,24,21,25,473,348,125,2,19,339,276,63,2,3.20,-2.21,1.61
13,Thu,November 27,4:30PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
14,Thu,December 4,8:15PM ET,preview,,,,@,Detroit Lions,,,,,,,,,,,,,,,
15,Sun,December 14,8:20PM ET,preview,,,,,Minnesota Vikings,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
17,Thu,December 25,1:00PM ET,preview,,,,@,Washington Commanders,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
