header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Brandon Aubrey,30,K,11,0,0,0,0,0,0,0,0,0,0,0,35,36,19,21,0,92,8.4,
2,Javonte Williams,25,RB,11,11,8,1,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.9,
3,George Pickens,24,WR,11,10,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,48,4.4,
4,Jake Ferguson,26,TE,11,7,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,42,3.8,
5,Ryan Flournoy,26,WR,11,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
6,CeeDee Lamb,26,WR,8,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.5,
7,Dak Prescott,32,QB,11,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Jalen Tolbert,26,WR,10,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0.8,
9,DaRon Bland,26,CB,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.7,
10,Marshawn Kneeland,24,DE,7,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0.9,
11,Hunter Luepke,25,RB,11,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Miles Sanders,28,RB,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.5,
13,Brevyn Spann-Ford,26,TE,11,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
14,KaVontae Turpin,29,WR,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
15,Markquese Bell,26,S,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.2,
16,Donovan Ezeiruaku,22,DE,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,
