header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Zach Allen,28,DL,11,11,0,0,0,0,6,0,0,0,0,0,6.0,29,10,19,3,30,0,
2,Jonathon Cooper,27,OLB,11,11,0,0,0,0,4,0,0,0,0,0,7.5,33,14,19,7,12,0,
3,Talanoa Hufanga,26,S,11,11,0,0,0,0,9,1,0,0,0,0,2.0,76,44,32,3,3,0,
4,Brandon Jones,27,S,11,11,1,0,0,0,7,0,0,1,0,0,0.5,65,34,31,0,2,0,
5,Riley Moss,25,CB,11,11,0,0,0,0,10,0,0,0,0,0,0.0,52,38,14,1,0,0,
6,Bo Nix,25,QB,11,11,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
7,Nik Bonitto,26,OLB,11,10,0,0,0,0,0,0,0,0,0,0,9.5,33,22,11,9,21,0,
8,John Franklin-Myers,29,DL,11,10,0,0,0,0,0,0,0,0,0,0,4.5,19,9,10,4,8,0,
9,Alex Singleton,32,LB,10,10,0,0,0,0,1,1,0,0,0,0,1.0,89,36,53,3,2,0,
10,D.J. Jones,30,DT,11,9,0,0,0,0,0,0,0,0,0,0,2.0,21,13,8,3,3,0,
11,Patrick Surtain II,25,CB,8,8,0,0,0,0,9,0,0,0,0,0,0.0,27,21,6,0,0,0,
12,Adam Trautman,28,TE,11,8,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
13,Justin Strnad,29,LB,11,7,1,21,0,21,2,0,0,0,0,0,3.5,48,18,30,4,7,0,
14,Troy Franklin,22,WR,11,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15,Pat Bryant,23,WR,11,5,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
16,Dre Greenlaw,28,LB,4,4,0,0,0,0,1,1,0,0,0,0,1.0,23,5,18,1,2,0,
17,Nate Adkins,26,TE,6,3,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
18,Ja'Quan McMillian,25,CB,11,3,1,16,0,16,6,2,1,0,0,0,4.0,35,25,10,4,4,0,
19,Trent Sherfield,29,WR,10,3,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
20,Kris Abrams-Draine,24,CB,11,2,0,0,0,0,1,0,0,0,0,0,0.0,23,16,7,1,0,0,
21,Jahdae Barron,24,CB,11,2,1,0,0,0,3,0,0,1,0,0,0.0,21,14,7,0,0,0,
22,Marvin Mims,23,WR,9,2,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
23,Adam Prentice,28,FB,11,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
24,Malcolm Roach,27,DT,6,1,0,0,0,0,0,0,0,0,0,0,2.0,21,6,15,0,3,0,
25,Tyler Badie,25,RB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
26,Michael Bandy,28,WR,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
27,Jeremy Crawshaw,24,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
28,Jonah Elliss,22,OLB,8,0,0,0,0,0,1,1,0,0,0,0,1.0,14,11,3,3,2,0,
29,Mitchell Fraboni,29,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
30,Jordan Jackson,27,DL,4,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,1,0,
31,Devon Key,28,DB,11,0,0,0,0,0,1,0,0,0,0,0,0.0,19,13,6,0,0,0,
32,P.J. Locke,28,S,10,0,0,0,0,0,1,0,0,0,0,0,0.0,4,3,1,0,0,0,
33,Karene Reid,25,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
34,Quandarrius Robinson,24,OLB,4,0,0,0,0,0,0,0,0,0,0,0,0.5,8,4,4,1,1,0,
35,JL Skinner,24,S,11,0,0,0,0,0,0,0,0,1,0,0,0.0,8,5,3,0,0,0,
36,Dondrea Tillman,27,OLB,11,0,2,59,0,36,3,0,0,0,0,0,1.5,26,8,18,1,4,0,
37,Jordan Turner,24,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
38,Eyioma Uwazurike,27,DL,11,0,0,0,0,0,0,0,0,0,0,0,2.5,27,13,14,3,2,0,
39,Garret Wallow,26,LB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,5,0,5,0,0,0,
