header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,J.K. Dobbins,27,RB,10,9,153,772,4,37,53.6,41,5.0,77.2,15.3,14,11,37,3.4,0,0,35.7,9,1.1,3.7,78.6,2.6,164,4.9,809,4,0,
2,Courtland Sutton,30,WR,11,11,0,0,0,0,,,,0.0,0.0,74,45,649,14.4,4,32,55.4,52,4.1,59.0,60.8,8.8,45,14.4,649,4,0,
3,Troy Franklin,22,WR,11,6,4,9,0,2,50.0,11,2.3,0.8,0.4,81,46,509,11.1,5,24,43.2,42,4.2,46.3,56.8,6.3,50,10.4,518,5,1,
4,RJ Harvey,24,RB,11,2,61,244,2,9,37.7,50,4.0,22.2,5.5,32,28,195,7.0,4,9,43.8,27,2.5,17.7,87.5,6.1,89,4.9,439,6,0,
5,Marvin Mims,23,WR,9,2,8,56,1,3,62.5,16,7.0,6.2,0.9,32,22,234,10.6,1,9,43.8,31,2.4,26.0,68.8,7.3,30,9.7,290,2,2,
6,Evan Engram,31,TE,10,1,1,7,0,0,100.0,7,7.0,0.7,0.1,50,32,260,8.1,1,14,46.0,20,3.2,26.0,64.0,5.2,33,8.1,267,1,0,
7,Pat Bryant,23,WR,11,5,0,0,0,0,,,,0.0,0.0,25,15,231,15.4,1,13,60.0,48,1.4,21.0,60.0,9.2,15,15.4,231,1,0,
8,Bo Nix,25,QB,11,11,50,213,3,13,42.0,25,4.3,19.4,4.5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,50,4.3,213,3,2,
9,Tyler Badie,25,RB,10,0,2,9,0,0,0.0,6,4.5,0.9,0.2,19,11,87,7.9,0,6,42.1,19,1.1,8.7,57.9,4.6,13,7.4,96,0,0,
10,Adam Trautman,28,TE,11,8,0,0,0,0,,,,0.0,0.0,12,11,93,8.5,1,5,75.0,26,1.0,8.5,91.7,7.8,11,8.5,93,1,0,
11,Nate Adkins,26,TE,6,3,0,0,0,0,,,,0.0,0.0,10,6,48,8.0,1,3,50.0,16,1.0,8.0,60.0,4.8,6,8.0,48,1,0,
12,Adam Prentice,28,FB,11,1,4,17,0,3,75.0,8,4.3,1.5,0.4,5,3,31,10.3,0,1,20.0,14,0.3,2.8,60.0,6.2,7,6.9,48,0,0,
13,Trent Sherfield,29,WR,10,3,0,0,0,0,,,,0.0,0.0,4,3,21,7.0,0,1,25.0,15,0.3,2.1,75.0,5.3,3,7.0,21,0,0,
14,Michael Bandy,28,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,16,16.0,0,1,100.0,16,0.5,8.0,100.0,16.0,1,16.0,16,0,1,
15,Lucas Krull,27,TE,3,3,0,0,0,0,,,,0.0,0.0,4,2,15,7.5,0,0,25.0,9,0.7,5.0,50.0,3.8,2,7.5,15,0,0,
16,Jaleel McLaughlin,25,RB,2,0,7,19,1,2,71.4,5,2.7,9.5,3.5,2,1,-5,-5.0,0,0,0.0,,0.5,-2.5,50.0,-2.5,8,1.8,14,1,0,
17,Garett Bolles,33,T,11,11,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18,Jarrett Stidham,29,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
