header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Wil Lutz,31,K,11,0,0,0,0,0,0,0,0,0,0,0,24,24,17,20,0,75,6.8,
2,Troy Franklin,22,WR,11,6,0,5,0,0,0,0,0,5,3,0,0,0,0,0,0,36,3.3,
3,RJ Harvey,24,RB,11,2,2,4,0,0,0,0,0,6,0,0,0,0,0,0,0,36,3.3,
4,Courtland Sutton,30,WR,11,11,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.4,
5,J.K. Dobbins,27,RB,10,9,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.4,
6,Bo Nix,25,QB,11,11,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
7,Marvin Mims,23,WR,9,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
8,Nate Adkins,26,TE,6,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.0,
9,Pat Bryant,23,WR,11,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Evan Engram,31,TE,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
11,Jaleel McLaughlin,25,RB,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.0,
12,Adam Trautman,28,TE,11,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
