header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Alex Anzalone,31,LB,11,11,1,14,0,14,4,0,0,0,0,0,1.5,63,35,28,2,5,0,
2,Derrick Barnes,26,LB,11,11,0,0,0,0,1,0,0,0,0,0,4.0,58,30,28,5,5,1,
3,Jack Campbell,25,LB,11,11,0,0,0,0,1,2,0,1,2,0,4.0,108,56,52,8,4,0,
4,Jahmyr Gibbs,23,RB,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
5,Jared Goff,31,QB,11,11,0,0,0,0,0,0,3,0,-9,0,0.0,0,0,0,0,0,0,
6,Aidan Hutchinson,25,DE,11,11,0,0,0,0,2,4,0,1,0,0,8.5,27,18,9,9,24,0,
7,D.J. Reader,31,DL,11,11,0,0,0,0,0,0,0,0,0,0,0.0,19,7,12,0,3,0,
8,Amon-Ra St. Brown,26,WR,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
9,Brian Branch,24,DB,10,10,0,0,0,0,6,1,0,0,0,0,2.5,59,38,21,5,4,0,
10,Tyleik Williams,22,DT,11,8,0,0,0,0,3,0,0,0,0,0,0.0,12,5,7,1,1,0,
11,Terrion Arnold,22,CB,7,7,1,0,0,0,8,0,0,0,0,0,0.0,27,19,8,0,0,0,
12,Amik Robertson,27,CB,11,7,1,2,0,2,6,2,0,0,0,0,0.0,33,31,2,2,0,0,
13,Kerby Joseph,25,S,6,6,3,1,0,1,4,0,0,0,0,0,0.0,18,14,4,0,0,0,
14,Thomas Harper,25,S,8,5,1,0,0,0,4,0,0,0,0,0,0.0,22,19,3,0,0,0,
15,Alim McNeill,25,DL,5,5,0,0,0,0,1,0,0,0,0,0,0.0,11,3,8,0,0,0,
16,D.J. Reed,29,CB,5,5,1,34,0,34,4,0,0,1,3,0,0.0,18,16,2,0,0,0,
17,Tyler Lacy,26,DT,9,4,0,0,0,0,0,0,0,0,0,0,1.0,19,5,14,0,2,0,
18,Pat O'Connor,32,DL,8,3,0,0,0,0,1,0,0,0,0,0,0.0,10,5,5,0,0,0,
19,Rock Ya-Sin,29,CB,11,3,0,0,0,0,7,0,0,0,0,0,0.0,26,17,9,0,0,0,
20,Marcus Davenport,29,DE,2,2,0,0,0,0,0,0,0,0,0,0,1.0,5,3,2,1,1,0,
21,Erick Hallett,25,S,2,1,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,
22,Jake Bates,26,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
23,Zach Cunningham,31,LB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,1,0,0,
24,Khalil Dorsey,27,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
25,Ross Dwelley,30,TE,9,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
26,Jack Fox,29,P,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
27,Hogan Hatten,25,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
28,Roy Lopez,28,DT,11,0,0,0,0,0,1,0,0,0,0,0,1.0,25,7,18,3,2,0,
29,Avonte Maddox,29,CB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,10,9,1,1,0,0,
30,Arthur Maulet,32,CB,6,0,1,0,0,0,2,0,0,0,0,0,0.0,14,11,3,0,0,0,
31,David Montgomery,28,RB,11,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
32,Al-Quadin Muhammad,30,DE,11,0,0,0,0,0,0,0,0,0,0,0,6.0,18,10,8,4,12,0,
33,Trevor Nowaske,27,LB,9,0,0,0,0,0,0,0,0,1,0,0,1.0,14,6,8,2,2,0,
34,Anthony Pittman,29,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
35,Craig Reynolds,29,RB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
36,Monty Rice,26,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
37,Malcolm Rodriguez,26,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
38,Jacob Saylors,24,RB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
39,Loren Strickland,25,S,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
40,Grant Stuard,27,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,15,5,10,1,0,0,
41,Ty Summers,30,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
42,Daniel Thomas,27,S,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
43,Sione Vaki,24,RB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
44,Tyrus Wheat,26,DE,9,0,0,0,0,0,0,1,0,0,0,0,1.5,11,3,8,1,1,0,
45,Nick Whiteside,25,CB,5,0,0,0,0,0,3,0,0,0,0,0,0.0,3,2,1,0,0,0,
46,Mekhi Wingo,22,DL,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
