header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Jahmyr Gibbs,23,RB,11,11,155,951,10,43,52.3,78,6.1,86.5,14.1,55,48,379,7.9,3,17,49.1,42,4.4,34.5,87.3,6.9,203,6.6,1330,13,0,
2,Amon-Ra St. Brown,26,WR,11,11,3,9,0,1,33.3,6,3.0,0.8,0.3,107,75,884,11.8,9,45,59.8,34,6.8,80.4,70.1,8.3,78,11.4,893,9,1,
3,David Montgomery,28,RB,11,0,115,511,5,25,44.3,72,4.4,46.5,10.5,22,18,135,7.5,0,8,54.5,23,1.6,12.3,81.8,6.1,133,4.9,646,5,1,
4,Jameson Williams,24,WR,11,9,4,10,0,0,25.0,9,2.5,0.9,0.4,53,31,562,18.1,5,26,49.1,64,2.8,51.1,58.5,10.6,35,16.3,572,5,0,
5,Sam LaPorta,24,TE,9,9,0,0,0,0,,,,0.0,0.0,49,40,489,12.2,3,23,69.4,40,4.4,54.3,81.6,10.0,40,12.2,489,3,0,
6,Kalif Raymond,31,WR,11,3,2,19,0,1,100.0,10,9.5,1.7,0.2,19,15,150,10.0,0,7,52.6,30,1.4,13.6,78.9,7.9,17,9.9,169,0,0,
7,Brock Wright,27,TE,11,8,0,0,0,0,,,,0.0,0.0,22,14,108,7.7,2,7,50.0,20,1.3,9.8,63.6,4.9,14,7.7,108,2,0,
8,Isaac TeSlaa,23,WR,11,1,0,0,0,0,,,,0.0,0.0,9,4,65,16.3,2,4,44.4,29,0.4,5.9,44.4,7.2,4,16.3,65,2,0,
9,Jared Goff,31,QB,11,11,12,22,0,3,41.7,7,1.8,2.0,1.1,0,0,0,,0,0,,,0.0,0.0,,,12,1.8,22,0,3,
10,Jacob Saylors,24,RB,10,0,2,11,0,1,50.0,9,5.5,1.1,0.2,0,0,0,,0,0,,,0.0,0.0,,,2,5.5,11,0,0,
11,Craig Reynolds,29,RB,7,0,3,4,0,0,0.0,3,1.3,0.6,0.4,0,0,0,,0,0,,,0.0,0.0,,,3,1.3,4,0,0,
12,Sione Vaki,24,RB,5,0,1,4,0,0,100.0,4,4.0,0.8,0.2,0,0,0,,0,0,,,0.0,0.0,,,1,4.0,4,0,0,
13,Ross Dwelley,30,TE,9,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
14,Grant Stuard,27,LB,11,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
15,Kyle Allen,29,QB,3,0,3,-3,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,-1.0,-3,0,0,
