header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Jake Bates,26,K,11,0,0,0,0,0,0,0,0,0,0,0,37,39,15,19,0,82,7.5,
2,Jahmyr Gibbs,23,RB,11,11,10,3,0,0,0,0,0,13,0,0,0,0,0,0,0,78,7.1,
3,Amon-Ra St. Brown,26,WR,11,11,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,54,4.9,
4,David Montgomery,28,RB,11,0,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,32,2.9,
5,Jameson Williams,24,WR,11,9,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
6,Sam LaPorta,24,TE,9,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.0,
7,Isaac TeSlaa,23,WR,11,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Brock Wright,27,TE,11,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
9,Kalif Raymond,31,WR,11,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Derrick Barnes,26,LB,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.2,
