header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Edgerrin Cooper,24,LB,11,11,0,0,0,0,3,2,0,0,0,0,0.5,78,43,35,2,2,0,
2,Rashan Gary,28,DL,11,11,0,0,0,0,1,1,0,1,0,0,7.5,37,19,18,7,15,0,
3,Jordan Love,27,QB,11,11,0,0,0,0,0,0,5,4,-3,0,0.0,0,0,0,0,0,0,
4,Xavier McKinney,27,S,11,11,2,0,0,0,5,1,0,0,0,0,1.0,67,32,35,0,1,0,
5,Keisean Nixon,28,CB,11,11,0,0,0,0,14,0,1,1,22,0,0.0,49,41,8,2,0,0,
6,Colby Wooden,25,DL,11,11,0,0,0,0,0,0,0,0,0,0,0.0,36,19,17,6,2,0,
7,Josh Jacobs,27,RB,10,10,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
8,Micah Parsons,26,DL,11,10,0,0,0,0,0,1,0,0,0,0,10.0,30,14,16,9,20,0,
9,Quay Walker,25,LB,10,10,0,0,0,0,4,0,0,0,0,0,1.5,84,41,43,6,6,0,
10,Evan Williams,24,S,11,10,3,0,0,0,4,0,0,1,0,0,0.0,71,34,37,4,0,0,
11,Devonte Wyatt,27,DL,9,9,0,0,0,0,2,0,0,0,0,0,4.0,23,12,11,5,7,0,
12,Isaiah McDuffie,26,LB,11,7,1,0,0,0,1,0,0,0,0,0,1.0,55,26,29,1,2,0,
13,Luke Musgrave,25,TE,11,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
14,Sean Rhyan,25,G,11,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15,Carrington Valentine,24,CB,11,6,0,0,0,0,3,0,0,0,0,0,0.0,20,17,3,0,0,0,
16,Javon Bullard,23,S,11,5,0,0,0,0,2,0,0,1,0,0,0.0,54,34,20,2,0,0,
17,Nate Hobbs,26,CB,7,5,0,0,0,0,1,0,0,0,0,0,0.0,19,10,9,1,0,0,
18,Karl Brooks,25,DL,11,3,0,0,0,0,1,0,0,0,0,0,0.5,17,4,13,0,5,0,
19,Lukas Van Ness,24,DL,6,1,0,0,0,0,0,0,0,0,0,0,1.5,11,6,5,3,6,0,
20,Emanuel Wilson,26,RB,11,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
21,Zayne Anderson,28,S,9,0,0,0,0,0,0,0,0,2,0,0,0.0,9,2,7,0,0,0,
22,Warren Brinson,23,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.5,7,3,4,0,1,0,
23,Chris Brooks,25,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,9,3,6,0,0,0,
24,Kingsley Enagbare,25,DL,11,0,0,0,0,0,0,0,0,0,0,0,0.5,25,8,17,3,5,0,
25,Kamal Hadden,24,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
26,Malik Heath,25,WR,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
27,Ty'Ron Hopper,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,11,8,3,1,0,0,
28,Brandon McManus,34,K,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
29,Bo Melton,26,CB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
30,Arron Mosby,26,DL,6,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
31,Nick Niemann,28,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,11,6,5,0,0,0,
32,Kitan Oladapo,25,S,11,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
33,Matthew Orzech,30,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
34,Barryn Sorrell,23,DL,10,0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,4,0,2,0,
35,Nazir Stackhouse,23,DT,11,0,0,0,0,0,0,0,0,0,0,0,0.0,9,2,7,0,0,0,
36,Kristian Welch,27,LB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
37,Savion Williams,24,WR,11,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,
