header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Josh Jacobs,27,RB,10,10,169,648,11,41,52.1,19,3.8,64.8,16.9,35,28,237,8.5,0,7,51.4,31,2.8,23.7,80.0,6.8,197,4.5,885,11,2,
2,Romeo Doubs,25,WR,11,11,0,0,0,0,,,,0.0,0.0,67,41,522,12.7,4,31,55.2,48,3.7,47.5,61.2,7.8,41,12.7,522,4,0,
3,Tucker Kraft,25,TE,8,8,1,3,0,0,0.0,3,3.0,0.4,0.1,44,32,489,15.3,6,22,63.6,59,4.0,61.1,72.7,11.1,33,14.9,492,6,0,
4,Emanuel Wilson,26,RB,11,1,81,327,3,20,55.6,15,4.0,29.7,7.4,15,13,87,6.7,0,4,53.3,25,1.2,7.9,86.7,5.8,94,4.4,414,3,1,
5,Matthew Golden,22,WR,9,4,8,45,0,3,87.5,9,5.6,5.0,0.9,32,24,286,11.9,0,12,50.0,46,2.7,31.8,75.0,8.9,32,10.3,331,0,0,
6,Christian Watson,26,WR,5,5,0,0,0,0,,,,0.0,0.0,24,17,283,16.6,2,13,70.8,52,3.4,56.6,70.8,11.8,17,16.6,283,2,0,
7,Dontayvion Wicks,24,WR,9,6,0,0,0,0,,,,0.0,0.0,34,20,213,10.7,0,15,58.8,20,2.2,23.7,58.8,6.3,20,10.7,213,0,0,
8,Jordan Love,27,QB,11,11,36,160,0,11,52.8,25,4.4,14.5,3.3,0,0,0,,0,0,,,0.0,0.0,,,36,4.4,160,0,5,
9,Luke Musgrave,25,TE,11,6,0,0,0,0,,,,0.0,0.0,17,14,117,8.4,0,4,52.9,23,1.3,10.6,82.4,6.9,14,8.4,117,0,1,
10,Savion Williams,24,WR,11,0,9,28,0,1,33.3,16,3.1,2.5,0.8,10,10,78,7.8,1,3,50.0,33,0.9,7.1,100.0,7.8,19,5.6,106,1,1,
11,Chris Brooks,25,RB,11,0,11,31,0,2,27.3,10,2.8,2.8,1.0,10,8,59,7.4,0,2,30.0,16,0.7,5.4,80.0,5.9,19,4.7,90,0,0,
12,Malik Heath,25,WR,10,0,0,0,0,0,,,,0.0,0.0,6,6,86,14.3,0,4,100.0,37,0.6,8.6,100.0,14.3,6,14.3,86,0,0,
13,Bo Melton,26,CB,10,0,2,20,0,1,50.0,17,10.0,2.0,0.2,5,2,28,14.0,0,2,40.0,18,0.2,2.8,40.0,5.6,4,12.0,48,0,0,
14,Jayden Reed,25,WR,2,1,0,0,0,0,,,,0.0,0.0,5,3,45,15.0,1,2,40.0,26,1.5,22.5,60.0,9.0,3,15.0,45,1,0,
15,John FitzPatrick,25,TE,11,2,0,0,0,0,,,,0.0,0.0,7,7,40,5.7,1,3,85.7,11,0.6,3.6,100.0,5.7,7,5.7,40,1,0,
16,Malik Willis,26,QB,2,0,3,19,0,2,66.7,16,6.3,9.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,6.3,19,0,0,
17,Josh Whyle,26,TE,3,1,0,0,0,0,,,,0.0,0.0,2,2,3,1.5,1,1,50.0,2,0.7,1.0,100.0,1.5,2,1.5,3,1,0,
