header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Josh Jacobs,27,RB,10,10,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,66,6.6,
2,Brandon McManus,34,K,8,0,0,0,0,0,0,0,0,0,0,0,18,19,14,20,0,60,7.5,
3,Tucker Kraft,25,TE,8,8,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,36,4.5,
4,Romeo Doubs,25,WR,11,11,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.4,
5,Emanuel Wilson,26,RB,11,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,20,1.8,
6,Lucas Havrisik,26,K,3,0,0,0,0,0,0,0,0,0,0,0,7,9,4,4,0,19,6.3,
7,Christian Watson,26,WR,5,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.4,
8,John FitzPatrick,25,TE,11,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
9,Jayden Reed,25,WR,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3.0,
10,Josh Whyle,26,TE,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2.0,
11,Savion Williams,24,WR,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
