header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Azeez Al-Shaair,28,LB,11,11,0,0,0,0,7,1,0,1,0,0,0.0,71,34,37,1,2,0,
2,Will Anderson,24,DE,11,11,0,0,0,0,3,3,0,2,0,1,10.5,36,23,13,14,17,0,
3,Calen Bullock,22,S,11,11,4,40,0,29,6,1,0,0,0,0,0.0,37,29,8,0,0,0,
4,Danielle Hunter,31,DE,11,11,0,0,0,0,1,2,0,1,0,0,11.0,37,20,17,11,18,0,
5,Kamari Lassiter,22,CB,11,11,2,0,0,0,10,0,0,0,0,0,0.0,63,44,19,6,0,0,
6,Sheldon Rankins,31,DT,11,11,0,0,0,0,0,0,0,1,32,1,1.0,22,9,13,4,3,0,
7,Tim Settle,28,DT,11,11,0,0,0,0,3,0,0,0,0,0,1.0,14,6,8,3,1,0,
8,Derek Stingley Jr.,24,CB,11,11,3,37,0,20,11,0,0,0,0,0,0.0,25,19,6,0,0,0,
9,Nico Collins,26,WR,10,10,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
10,Henry To'oTo'o,24,LB,11,8,0,0,0,0,3,0,0,0,0,0,2.5,59,29,30,6,3,0,
11,Jalen Pitre,26,S,8,7,3,20,0,12,5,0,0,0,0,0,0.0,46,26,20,3,0,0,
12,E.J. Speed,30,LB,11,6,0,0,0,0,1,0,0,0,0,0,0.0,43,26,17,1,2,0,
13,M.J. Stewart,30,S,9,4,0,0,0,0,2,1,0,0,0,0,0.0,25,15,10,0,0,0,
14,Harrison Bryant,27,TE,8,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15,C.J. Gardner-Johnson,28,S,3,3,0,0,0,0,0,0,0,0,0,0,0.0,15,11,4,0,1,0,
16,Woody Marks,25,RB,11,3,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
17,Davis Mills,27,QB,5,3,0,0,0,0,0,0,1,0,-5,0,0.0,0,0,0,0,0,0,
18,British Brooks,26,RB,9,2,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
19,Myles Bryant,27,CB,5,2,0,0,0,0,0,0,0,0,0,0,0.0,17,9,8,1,0,0,
20,Jakob Johnson,31,FB,5,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
21,Folorunso Fatukasi,30,DT,4,1,0,0,0,0,0,0,0,0,0,0,1.5,8,5,3,1,2,0,
22,Jalen Mills,31,S,3,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
23,Tommy Togiai,26,DT,9,1,0,0,0,0,3,0,0,0,0,0,0.5,27,14,13,4,3,0,
24,Damon Arnette,29,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
25,Denico Autry,35,DE,6,0,0,0,0,0,1,0,0,0,0,0,1.0,3,3,0,1,1,0,
26,Derek Barnett,29,DE,11,0,0,0,0,0,0,0,0,0,0,0,2.0,10,6,4,3,5,0,
27,Mario Edwards,31,DT,11,0,0,0,0,0,0,0,0,0,0,0,1.5,8,5,3,2,3,0,
28,Ka'imi Fairbairn,31,K,9,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
29,Jake Hansen,27,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,14,9,5,0,0,0,
30,Christian Harris,24,LB,9,0,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0,0,0,
31,Jamal Hill,24,LB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
32,Dylan Horton,25,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.5,14,8,6,0,4,0,
33,Dare Ogunbowale,31,RB,11,0,0,0,0,0,0,0,1,0,0,0,0.0,10,5,5,0,0,0,
34,Jaylen Reed,22,S,6,0,0,0,0,0,0,0,0,1,9,0,0.0,12,9,3,0,0,0,
35,Jaylin Smith,22,CB,4,0,0,0,0,0,0,0,0,1,0,0,0.0,6,3,3,0,0,0,
36,Tremon Smith,29,CB,11,0,0,0,0,0,1,0,1,0,0,0,0.0,13,8,5,1,0,0,
37,Darrell Taylor,28,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
