header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Nico Collins,26,WR,10,10,1,8,0,0,100.0,8,8.0,0.8,0.1,85,52,697,13.4,4,31,48.2,54,5.2,69.7,61.2,8.2,53,13.3,705,4,1,
2,Woody Marks,25,RB,11,3,115,422,2,22,43.5,23,3.7,38.4,10.5,26,17,185,10.9,2,6,46.2,50,1.5,16.8,65.4,7.1,132,4.6,607,4,0,
3,Dalton Schultz,29,TE,11,4,0,0,0,0,,,,0.0,0.0,72,52,497,9.6,1,26,59.7,47,4.7,45.2,72.2,6.9,52,9.6,497,1,0,
4,Nick Chubb,30,RB,11,8,105,435,2,18,52.4,27,4.1,39.5,9.5,19,12,58,4.8,0,1,31.6,27,1.1,5.3,63.2,3.1,117,4.2,493,2,0,
5,Jayden Higgins,23,WR,11,6,0,0,0,0,,,,0.0,0.0,45,27,294,10.9,4,17,51.1,28,2.5,26.7,60.0,6.5,27,10.9,294,4,0,
6,Xavier Hutchinson,25,WR,11,4,2,14,0,1,100.0,9,7.0,1.3,0.2,34,24,264,11.0,3,12,58.8,30,2.2,24.0,70.6,7.8,26,10.7,278,3,0,
7,Jaylin Noel,23,WR,11,3,4,9,0,0,25.0,5,2.3,0.8,0.4,27,20,213,10.7,1,11,44.4,44,1.8,19.4,74.1,7.9,24,9.3,222,1,0,
8,Christian Kirk,29,WR,7,2,0,0,0,0,,,,0.0,0.0,37,21,198,9.4,1,9,32.4,47,3.0,28.3,56.8,5.4,21,9.4,198,1,0,
9,C.J. Stroud,24,QB,8,8,29,189,0,14,65.5,30,6.5,23.6,3.6,0,0,0,,0,0,,,0.0,0.0,,,29,6.5,189,0,0,
10,Dare Ogunbowale,31,RB,11,0,3,18,0,0,0.0,9,6.0,1.6,0.3,6,5,36,7.2,0,1,16.7,16,0.5,3.3,83.3,6.0,8,6.8,54,0,1,
11,Davis Mills,27,QB,5,3,12,48,1,1,33.3,14,4.0,9.6,2.4,0,0,0,,0,0,,,0.0,0.0,,,12,4.0,48,1,1,
12,Braxton Berrios,30,WR,4,0,0,0,0,0,,,,0.0,0.0,8,6,37,6.2,0,3,37.5,14,1.5,9.3,75.0,4.6,6,6.2,37,0,0,
13,Justin Watson,29,WR,2,0,0,0,0,0,,,,0.0,0.0,4,3,30,10.0,0,1,50.0,15,1.5,15.0,75.0,7.5,3,10.0,30,0,0,
14,Dameon Pierce,25,RB,4,0,10,26,0,1,20.0,10,2.6,6.5,2.5,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,10,2.6,26,0,0,
15,Brenden Bates,26,TE,3,0,0,0,0,0,,,,0.0,0.0,2,2,23,11.5,0,2,100.0,19,0.7,7.7,100.0,11.5,2,11.5,23,0,0,
16,Cade Stover,25,TE,3,2,0,0,0,0,,,,0.0,0.0,6,4,22,5.5,0,1,33.3,10,1.3,7.3,66.7,3.7,4,5.5,22,0,0,
17,Jared Wayne,25,WR,1,1,0,0,0,0,,,,0.0,0.0,2,2,20,10.0,0,1,50.0,17,2.0,20.0,100.0,10.0,2,10.0,20,0,0,
18,British Brooks,26,RB,9,2,4,15,0,2,50.0,9,3.8,1.7,0.4,0,0,0,,0,0,,,0.0,0.0,,,4,3.8,15,0,0,
19,Harrison Bryant,27,TE,8,3,0,0,0,0,,,,0.0,0.0,6,2,7,3.5,0,1,16.7,5,0.3,0.9,33.3,1.2,2,3.5,7,0,0,
