header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Ka'imi Fairbairn,31,K,9,0,0,0,0,0,0,0,0,0,0,0,14,14,25,28,0,89,9.9,
2,Nico Collins,26,WR,10,10,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.6,
3,Jayden Higgins,23,WR,11,6,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
4,Woody Marks,25,RB,11,3,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
5,Xavier Hutchinson,25,WR,11,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
6,Matthew Wright,29,K,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,14,7.0,
7,Nick Chubb,30,RB,11,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
8,Will Anderson,24,DE,11,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5,
9,Christian Kirk,29,WR,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
10,Davis Mills,27,QB,5,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1.2,
11,Jaylin Noel,23,WR,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
12,Sheldon Rankins,31,DT,11,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0.5,
13,Dalton Schultz,29,TE,11,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
