header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Arik Armstead,32,DT,11,11,0,0,0,0,0,1,0,0,0,0,5.5,23,11,12,7,7,0,
2,Travis Etienne,26,RB,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
3,DaVon Hamilton,28,DT,11,11,0,0,0,0,0,0,0,0,0,0,1.0,25,8,17,2,3,0,
4,Josh Hines-Allen,28,DE,11,11,0,0,0,0,2,0,0,0,0,0,4.0,30,17,13,7,16,0,
5,Trevor Lawrence,26,QB,11,11,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0,0,0,
6,Foyesade Oluokun,30,LB,11,11,1,0,0,0,8,2,0,1,0,0,1.0,90,43,47,5,2,0,
7,Andrew Wingard,29,S,11,11,1,39,0,39,6,0,0,1,0,0,0.0,69,38,31,1,1,0,
8,Anton Harrison,23,OL,9,9,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
9,Devin Lloyd,27,LB,9,9,4,129,1,99,4,0,0,1,2,0,1.5,43,22,21,5,7,0,
10,Jourdan Lewis,30,CB,8,7,2,6,0,6,8,0,0,1,0,0,0.0,30,18,12,4,1,0,
11,Eric Murray,31,S,7,7,1,12,0,12,4,0,0,0,0,0,0.0,34,19,15,0,1,0,
12,Travon Walker,25,DE,9,7,0,0,0,0,1,0,0,0,0,0,2.5,20,8,12,2,7,0,
13,Montaric Brown,26,CB,9,6,1,0,0,0,7,0,0,0,0,0,0.0,27,23,4,0,0,0,
14,Tyson Campbell,25,CB,5,5,0,0,0,0,6,1,0,0,0,0,0.0,34,22,12,1,0,0,
15,Dennis Gardeck,31,OLB,11,5,0,0,0,0,1,1,0,0,0,0,1.5,38,23,15,5,6,0,
16,Greg Newsome II,25,CB,6,5,0,0,0,0,3,0,0,0,0,0,0.0,14,9,5,0,0,0,
17,Parker Washington,23,WR,11,5,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18,Travis Hunter,22,WR,7,4,0,0,0,0,3,0,1,0,0,0,0.0,15,11,4,0,0,0,
19,Antonio Johnson,24,S,11,4,2,44,0,44,4,0,0,0,0,0,2.0,35,18,17,2,1,0,
20,Jarrian Jones,24,CB,11,3,1,0,0,0,5,0,0,0,0,0,0.0,33,23,10,4,1,0,
21,Hunter Long,27,TE,8,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
22,Emmanuel Ogbah,32,DL,10,3,0,0,0,0,0,0,0,0,0,0,0.5,14,6,8,2,4,0,
23,Ventrell Miller,26,LB,11,2,0,0,0,0,2,1,0,0,0,0,0.0,28,10,18,0,0,0,
24,Quintin Morris,26,TE,8,2,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
25,Danny Striggow,23,DL,6,1,0,0,0,0,0,0,0,1,0,0,0.5,5,3,2,0,3,0,
26,Yasir Abdullah,25,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
27,LeQuint Allen,21,RB,11,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,
28,Christian Braswell,26,CB,11,0,0,0,0,0,2,0,0,0,0,0,0.0,9,7,2,0,0,0,
29,Branson Combs,25,LB,4,0,0,0,0,0,0,1,0,0,0,0,0.0,6,2,4,0,0,0,
30,Matt Dickerson,30,DL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,1,0,0,
31,B.J. Green,22,DL,8,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
32,Austin Johnson,31,DT,10,0,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,0,0,0,
33,Tim Jones,27,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
34,Jack Kiser,25,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
35,Rayuan Lane,22,S,11,0,0,0,0,0,1,0,0,0,0,0,0.0,11,6,5,0,0,0,
36,Cam Little,22,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
37,Ross Matiscik,29,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
38,Khalen Saunders,29,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
39,Darnell Savage Jr.,28,S,2,0,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0,0,0,
40,Maason Smith,23,DT,10,0,0,0,0,0,1,0,0,0,0,0,0.0,11,3,8,0,0,0,
41,Dawuane Smoot,30,DE,11,0,0,0,0,0,0,0,0,0,0,0,1.0,13,8,5,2,3,0,
