header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Travis Etienne,26,RB,11,11,169,815,5,34,50.9,71,4.8,74.1,15.4,37,24,160,6.7,2,7,43.2,16,2.2,14.5,64.9,4.3,193,5.1,975,7,1,
2,Brian Thomas,23,WR,8,8,2,16,1,2,100.0,9,8.0,2.0,0.3,60,30,420,14.0,1,19,41.7,46,3.8,52.5,50.0,7.0,32,13.6,436,2,0,
3,Parker Washington,23,WR,11,5,6,5,0,1,50.0,5,0.8,0.5,0.5,60,35,421,12.0,3,22,48.3,40,3.2,38.3,58.3,7.0,41,10.4,426,3,1,
4,Bhayshul Tuten,23,RB,11,0,67,255,3,19,61.2,15,3.8,23.2,6.1,12,8,61,7.6,1,2,50.0,24,0.7,5.5,66.7,5.1,75,4.2,316,4,0,
5,Travis Hunter,22,WR,7,4,1,0,0,0,0.0,,0.0,0.0,0.1,45,28,298,10.6,1,12,40.0,44,4.0,42.6,62.2,6.6,29,10.3,298,1,1,
6,Brenton Strange,25,TE,6,6,0,0,0,0,,,,0.0,0.0,29,25,297,11.9,0,14,65.5,30,4.2,49.5,86.2,10.2,25,11.9,297,0,0,
7,Dyami Brown,26,WR,10,6,5,26,0,2,80.0,9,5.2,2.6,0.5,36,19,219,11.5,1,12,41.7,39,1.9,21.9,52.8,6.1,24,10.2,245,1,0,
8,Trevor Lawrence,26,QB,11,11,54,210,5,23,48.1,21,3.9,19.1,4.9,0,0,0,,0,0,,,0.0,0.0,,,54,3.9,210,5,5,
9,Jakobi Meyers,29,WR,3,1,0,0,0,0,,,,0.0,0.0,15,12,155,12.9,1,9,80.0,23,4.0,51.7,80.0,10.3,12,12.9,155,1,0,
10,LeQuint Allen,21,RB,11,0,14,70,0,5,50.0,12,5.0,6.4,1.3,8,7,41,5.9,0,0,25.0,10,0.6,3.7,87.5,5.1,21,5.3,111,0,0,
11,Johnny Mundt,31,TE,11,6,0,0,0,0,,,,0.0,0.0,17,8,95,11.9,0,5,47.1,21,0.7,8.6,47.1,5.6,8,11.9,95,0,0,
12,Hunter Long,27,TE,8,3,0,0,0,0,,,,0.0,0.0,17,12,85,7.1,2,5,58.8,11,1.5,10.6,70.6,5.0,12,7.1,85,2,1,
13,Tim Patrick,32,WR,10,2,0,0,0,0,,,,0.0,0.0,14,7,83,11.9,2,5,42.9,26,0.7,8.3,50.0,5.9,7,11.9,83,2,0,
14,Austin Trammell,27,WR,4,0,0,0,0,0,,,,0.0,0.0,6,3,46,15.3,0,2,33.3,18,0.8,11.5,50.0,7.7,3,15.3,46,0,0,
15,Tim Jones,27,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,15,15.0,0,1,100.0,15,0.5,7.5,100.0,15.0,1,15.0,15,0,0,
16,Tank Bigsby,24,RB,1,0,5,12,0,1,20.0,4,2.4,12.0,5.0,0,0,0,,0,0,,,0.0,0.0,,,5,2.4,12,0,0,
17,Quintin Morris,26,TE,8,2,0,0,0,0,,,,0.0,0.0,3,1,11,11.0,0,1,33.3,11,0.1,1.4,33.3,3.7,1,11.0,11,0,0,
