header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,W,,1-0,,Carolina Panthers,26,10,19,378,178,200,1,15,255,142,113,3,8.42,9.69,-0.76
2,Sun,September 14,1:00PM ET,boxscore,L,,1-1,@,Cincinnati Bengals,27,31,21,400,261,139,2,24,350,302,48,3,6.25,-6.63,-4.21
3,Sun,September 21,1:00PM ET,boxscore,W,,2-1,,Houston Texans,17,10,17,291,205,86,1,13,271,184,87,3,-7.58,11.96,2.42
4,Sun,September 28,4:05PM ET,boxscore,W,,3-1,@,San Francisco 49ers,26,21,18,325,174,151,,22,389,306,83,4,0.85,0.26,4.55
5,Mon,October 6,8:15PM ET,boxscore,W,,4-1,,Kansas City Chiefs,31,28,21,319,210,109,2,26,476,318,158,1,8.64,-11.78,5.14
6,Sun,October 12,1:00PM ET,boxscore,L,,4-2,,Seattle Seahawks,12,20,17,273,214,59,,13,346,286,60,,-1.71,1.90,-11.41
7,Sun,October 19,9:30AM ET,boxscore,L,,4-3,,Los Angeles Rams,7,35,21,358,264,94,,26,271,182,89,,-6.14,-15.94,-3.09
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 2,4:05PM ET,boxscore,W,OT,5-3,@,Las Vegas Raiders,30,29,26,367,216,151,1,26,331,274,57,1,12.59,-12.36,1.77
10,Sun,November 9,1:00PM ET,boxscore,L,,5-4,@,Houston Texans,29,36,19,213,119,94,2,27,412,282,130,2,-12.56,-14.00,14.96
11,Sun,November 16,1:00PM ET,boxscore,W,,6-4,,Los Angeles Chargers,35,6,30,345,153,192,1,8,135,93,42,1,18.53,20.13,-6.82
12,Sun,November 23,4:05PM ET,boxscore,W,OT,7-4,@,Arizona Cardinals,27,24,18,371,237,134,4,25,326,271,55,,-9.63,0.16,10.32
13,Sun,November 30,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,,Indianapolis Colts,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
16,Sun,December 21,4:05PM ET,preview,,,,@,Denver Broncos,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Indianapolis Colts,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,,Tennessee Titans,,,,,,,,,,,,,,,
