header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Cam Little,22,K,11,0,0,0,0,0,0,0,0,0,0,0,27,28,18,22,0,81,7.4,
2,Travis Etienne,26,RB,11,11,5,2,0,0,0,0,0,7,0,0,0,0,0,0,0,42,3.8,
3,Trevor Lawrence,26,QB,11,11,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
4,Parker Washington,23,WR,11,5,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
5,Bhayshul Tuten,23,RB,11,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
6,Hunter Long,27,TE,8,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.5,
7,Tim Patrick,32,WR,10,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.2,
8,Brian Thomas,23,WR,8,8,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.5,
9,Dyami Brown,26,WR,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
10,Travis Hunter,22,WR,7,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.9,
11,Devin Lloyd,27,LB,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0.7,
12,Jakobi Meyers,29,WR,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2.0,
