header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Nick Bolton,25,LB,11,11,0,0,0,0,3,1,0,0,0,0,0.0,89,42,47,5,4,0,
2,Chamarri Conner,25,DB,11,11,0,0,0,0,1,2,0,0,0,0,1.0,78,45,33,2,2,0,
3,Bryan Cook,26,S,11,11,0,0,0,0,4,0,0,0,0,0,0.0,49,33,16,1,0,0,
4,Creed Humphrey,26,C,11,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
5,Chris Jones,31,DT,11,11,0,0,0,0,1,0,0,0,0,0,3.0,16,8,8,6,12,0,
6,Patrick Mahomes,30,QB,11,11,0,0,0,0,0,0,3,3,0,0,0.0,0,0,0,0,0,0,
7,Trent McDuffie,25,CB,11,11,1,2,0,2,7,0,0,0,0,0,1.0,55,40,15,2,1,0,
8,Drue Tranquill,30,LB,11,11,0,0,0,0,1,0,0,1,0,0,2.0,50,29,21,7,2,0,
9,Jaylen Watson,27,CB,11,11,1,0,0,0,5,0,0,0,0,0,1.0,45,28,17,2,1,0,
10,George Karlaftis III,24,DE,11,10,0,0,0,0,2,0,0,1,1,0,5.0,35,19,16,8,19,0,
11,Leo Chenal,25,LB,11,9,1,0,0,0,2,0,0,0,0,0,1.5,49,22,27,2,4,0,
12,Xavier Worthy,22,WR,9,9,0,0,0,0,0,0,0,1,3,0,0.0,0,0,0,0,0,0,
13,Michael Danna,28,DE,9,8,1,10,0,10,1,0,0,0,0,0,1.0,13,4,9,2,3,0,
14,Isiah Pacheco,26,RB,8,8,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
15,Derrick Nnadi,29,DT,11,7,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,0,0,0,
16,Rashee Rice,25,WR,5,5,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
17,Marquise Brown,28,WR,11,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
18,Kareem Hunt,30,RB,11,3,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
19,Jerry Tillery,29,DL,11,3,0,0,0,0,0,0,0,1,0,0,1.0,11,7,4,2,1,0,
20,Jaden Hicks,23,DB,11,2,0,0,0,0,1,0,0,0,0,0,0.0,26,18,8,0,0,0,
21,Christian Roland-Wallace,24,CB,11,2,1,23,0,23,3,0,0,0,0,0,0.0,34,19,15,0,0,0,
22,Ashton Gillotte,23,DE,11,1,0,0,0,0,0,0,0,0,0,0,0.5,18,9,9,1,3,0,
23,Omarr Norman-Lott,23,DT,5,1,0,0,0,0,0,0,0,0,0,0,1.0,5,4,1,1,1,0,
24,Nohl Williams,23,DB,11,1,0,0,0,0,3,0,0,0,0,0,0.0,24,11,13,0,0,0,
25,Jeffrey Bassa,23,LB,11,0,0,0,0,0,0,1,0,0,0,0,0.0,10,5,5,0,0,0,
26,Jason Brownlee,26,WR,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
27,Harrison Butker,30,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
28,Jack Cochrane,26,LB,11,0,1,0,0,0,1,0,0,0,0,0,0.0,10,1,9,0,0,0,
29,Kristian Fulton,27,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
30,Kevin Knowles,22,CB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,8,6,2,0,0,0,
31,Cooper McDonald,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,12,5,7,0,0,0,
32,Charles Omenihu,28,DE,11,0,0,0,0,0,0,0,0,0,0,0,2.0,17,11,6,4,6,0,
33,Mike Pennel,34,NT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
34,Nikko Remigio,26,WR,11,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
35,Jalen Royals,22,WR,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
36,Brashard Smith,22,RB,11,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
37,Robert Tonyan,31,TE,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
38,Marlon Tuipulotu,26,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
39,Joshua Williams,26,CB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
40,James Winchester,36,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
