header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Travis Kelce,36,TE,11,11,1,1,0,0,0.0,1,1.0,0.1,0.1,72,54,674,12.5,4,35,66.7,44,4.9,61.3,75.0,9.4,55,12.3,675,4,0,
2,Kareem Hunt,30,RB,11,3,116,457,7,39,57.8,33,3.9,41.5,10.5,16,13,92,7.1,1,6,50.0,13,1.2,8.4,81.3,5.8,129,4.3,549,8,2,
3,Marquise Brown,28,WR,11,4,0,0,0,0,,,,0.0,0.0,58,39,439,11.3,4,23,56.9,49,3.5,39.9,67.2,7.6,39,11.3,439,4,1,
4,Xavier Worthy,22,WR,9,9,7,73,0,3,85.7,35,10.4,8.1,0.8,53,31,340,11.0,1,15,50.9,37,3.4,37.8,58.5,6.4,38,10.9,413,1,0,
5,Rashee Rice,25,WR,5,5,4,18,1,2,100.0,7,4.5,3.6,0.8,47,34,394,11.6,3,21,57.4,47,6.8,78.8,72.3,8.4,38,10.8,412,4,1,
6,Isiah Pacheco,26,RB,8,8,78,329,1,21,59.0,16,4.2,41.1,9.8,17,11,43,3.9,1,3,35.3,10,1.4,5.4,64.7,2.5,89,4.2,372,2,0,
7,Tyquan Thornton,25,WR,11,3,0,0,0,0,,,,0.0,0.0,31,15,372,24.8,3,12,45.2,61,1.4,33.8,48.4,12.0,15,24.8,372,3,0,
8,Patrick Mahomes,30,QB,11,11,52,318,4,22,55.8,22,6.1,28.9,4.7,0,0,0,,0,0,,,0.0,0.0,,,52,6.1,318,4,3,
9,JuJu Smith-Schuster,29,WR,11,7,0,0,0,0,,,,0.0,0.0,32,26,299,11.5,1,16,68.8,30,2.4,27.2,81.3,9.3,26,11.5,299,1,0,
10,Brashard Smith,22,RB,11,0,29,87,0,2,41.4,8,3.0,7.9,2.6,26,19,161,8.5,0,6,65.4,17,1.7,14.6,73.1,6.2,48,5.2,248,0,1,
11,Noah Gray,26,TE,11,5,0,0,0,0,,,,0.0,0.0,28,16,132,8.3,0,7,32.1,28,1.5,12.0,57.1,4.7,16,8.3,132,0,0,
12,Nikko Remigio,26,WR,11,0,1,11,0,1,100.0,11,11.0,1.0,0.1,1,1,21,21.0,0,1,100.0,21,0.1,1.9,100.0,21.0,2,16.0,32,0,1,
13,Clyde Edwards-Helaire,26,RB,2,0,7,13,0,1,28.6,7,1.9,6.5,3.5,2,2,9,4.5,0,0,50.0,7,1.0,4.5,100.0,4.5,9,2.4,22,0,0,
14,Robert Tonyan,31,TE,11,0,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,1,1.0,1,0,0,
15,Jason Brownlee,26,WR,5,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
16,Elijah Mitchell,27,RB,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
17,Gardner Minshew II,29,QB,2,0,5,-6,0,0,0.0,-1,-1.2,-3.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,-1.2,-6,0,0,
