header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Fri,September 5,8:00PM ET,boxscore,L,,0-1,@,Los Angeles Chargers,21,27,18,347,249,98,,22,394,304,90,,8.20,-11.87,1.45
2,Sun,September 14,4:25PM ET,boxscore,L,,0-2,,Philadelphia Eagles,17,20,17,294,173,121,1,16,216,94,122,,-0.80,-0.21,-4.07
3,Sun,September 21,8:20PM ET,boxscore,W,,1-2,@,New York Giants,22,9,22,306,201,105,,19,281,151,130,2,9.67,6.65,-3.25
4,Sun,September 28,4:25PM ET,boxscore,W,,2-2,,Baltimore Ravens,37,20,24,382,264,118,,18,360,194,166,2,17.40,-0.78,-1.39
5,Mon,October 6,8:15PM ET,boxscore,L,,2-3,@,Jacksonville Jaguars,28,31,26,476,318,158,1,21,319,210,109,2,11.78,-8.64,-5.14
6,Sun,October 12,8:20PM ET,boxscore,W,,3-3,,Detroit Lions,30,17,26,355,243,112,,18,297,199,98,,19.22,-3.78,-2.57
7,Sun,October 19,1:00PM ET,boxscore,W,,4-3,,Las Vegas Raiders,31,0,30,434,282,152,,3,95,70,25,1,19.79,20.20,-10.92
8,Mon,October 27,8:15PM ET,boxscore,W,,5-3,,Washington Commanders,28,7,26,432,284,148,2,14,260,200,60,2,20.26,7.61,-7.00
9,Sun,November 2,4:25PM ET,boxscore,L,,5-4,@,Buffalo Bills,21,28,16,305,226,79,1,23,404,263,141,,2.73,-18.07,7.34
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 16,4:25PM ET,boxscore,L,,5-5,@,Denver Broncos,19,22,19,311,249,62,1,16,342,283,59,,10.04,-3.40,-7.38
12,Sun,November 23,1:00PM ET,boxscore,W,OT,6-5,,Indianapolis Colts,23,20,33,494,346,148,2,10,255,181,74,,8.37,1.86,-8.69
13,Thu,November 27,4:30PM ET,preview,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,
14,Sun,December 7,8:20PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
15,Sun,December 14,1:00PM ET,preview,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
17,Thu,December 25,8:15PM ET,preview,,,,,Denver Broncos,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
