header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Harrison Butker,30,K,11,0,0,0,0,0,0,0,0,0,0,0,24,28,21,24,0,87,7.9,
2,Kareem Hunt,30,RB,11,3,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,48,4.4,
3,Travis Kelce,36,TE,11,11,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,26,2.4,
4,Rashee Rice,25,WR,5,5,1,3,0,0,0,0,0,4,1,0,0,0,0,0,0,26,5.2,
5,Marquise Brown,28,WR,11,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
6,Patrick Mahomes,30,QB,11,11,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,2.2,
7,Tyquan Thornton,25,WR,11,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1.6,
8,Isiah Pacheco,26,RB,8,8,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.5,
9,JuJu Smith-Schuster,29,WR,11,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.5,
10,Xavier Worthy,22,WR,9,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.7,
