header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,De'Von Achane,24,RB,11,11,164,900,5,40,46.3,59,5.5,81.8,14.9,71,54,370,6.9,4,17,40.8,29,4.9,33.6,76.1,5.2,218,5.8,1270,9,1,
2,Jaylen Waddle,27,WR,11,11,0,0,0,0,,,,0.0,0.0,73,49,722,14.7,5,35,60.3,46,4.5,65.6,67.1,9.9,49,14.7,722,5,0,
3,Malik Washington,24,WR,11,3,13,78,0,3,53.8,18,6.0,7.1,1.2,47,33,234,7.1,2,12,38.3,28,3.0,21.3,70.2,5.0,46,6.8,312,2,1,
4,Tyreek Hill,31,WR,4,4,0,0,0,0,,,,0.0,0.0,29,21,265,12.6,1,17,69.0,47,5.3,66.3,72.4,9.1,21,12.6,265,1,0,
5,Ollie Gordon,21,RB,11,1,50,164,2,17,50.0,20,3.3,14.9,4.5,8,6,30,5.0,1,1,12.5,20,0.5,2.7,75.0,3.8,56,3.5,194,3,0,
6,Darren Waller,33,TE,4,1,0,0,0,0,,,,0.0,0.0,12,10,117,11.7,4,9,75.0,34,2.5,29.3,83.3,9.8,10,11.7,117,4,0,
7,Tanner Conner,27,TE,9,0,0,0,0,0,,,,0.0,0.0,15,9,91,10.1,0,3,46.7,28,1.0,10.1,60.0,6.1,9,10.1,91,0,0,
8,Julian Hill,25,TE,8,8,0,0,0,0,,,,0.0,0.0,14,11,91,8.3,0,3,42.9,19,1.4,11.4,78.6,6.5,11,8.3,91,0,0,
9,Greg Dulcich,25,TE,4,1,0,0,0,0,,,,0.0,0.0,13,8,89,11.1,0,4,61.5,22,2.0,22.3,61.5,6.8,8,11.1,89,0,0,
10,Nick Westbrook-Ikhine,28,WR,11,3,0,0,0,0,,,,0.0,0.0,19,11,89,8.1,0,8,42.1,18,1.0,8.1,57.9,4.7,11,8.1,89,0,0,
11,D'Wayne Eskridge,28,WR,9,0,0,0,0,0,,,,0.0,0.0,7,4,62,15.5,0,3,42.9,40,0.4,6.9,57.1,8.9,4,15.5,62,0,1,
12,Jaylen Wright,22,RB,4,0,15,49,0,2,40.0,18,3.3,12.3,3.8,1,1,0,0.0,0,0,0.0,,0.3,0.0,100.0,0.0,16,3.1,49,0,0,
13,Alec Ingold,29,FB,11,7,2,9,0,1,50.0,6,4.5,0.8,0.2,7,5,36,7.2,0,3,42.9,22,0.5,3.3,71.4,5.1,7,6.4,45,0,0,
14,Tua Tagovailoa,27,QB,11,11,14,38,0,1,21.4,8,2.7,3.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,14,2.7,38,0,6,
15,Tahj Washington,24,WR,4,1,0,0,0,0,,,,0.0,0.0,2,1,11,11.0,0,0,50.0,11,0.3,2.8,50.0,5.5,1,11.0,11,0,1,
16,Cedrick Wilson Jr.,30,WR,4,0,0,0,0,0,,,,0.0,0.0,2,2,9,4.5,0,1,50.0,7,0.5,2.3,100.0,4.5,2,4.5,9,0,0,
17,Zach Wilson,26,QB,2,0,1,3,0,0,0.0,3,3.0,1.5,0.5,0,0,0,,0,0,,,0.0,0.0,,,1,3.0,3,0,0,
18,Quinn Ewers,22,QB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,2,
