header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,@,Indianapolis Colts,8,33,12,211,133,78,3,27,418,262,156,,-3.89,-19.66,0.45
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,,New England Patriots,27,33,16,358,297,61,1,18,333,211,122,,5.66,-12.82,3.11
3,Thu,September 18,8:15PM ET,boxscore,L,,0-3,@,Buffalo Bills,21,31,19,276,146,130,1,23,360,203,157,,6.98,-17.09,2.77
4,Mon,September 29,7:15PM ET,boxscore,W,,1-3,,New York Jets,27,21,19,300,177,123,,23,404,207,197,3,10.59,-8.88,4.42
5,Sun,October 5,1:00PM ET,boxscore,L,,1-4,@,Carolina Panthers,24,27,15,248,229,19,,26,418,179,239,2,4.31,-12.53,5.12
6,Sun,October 12,1:00PM ET,boxscore,L,,1-5,,Los Angeles Chargers,27,29,19,341,204,137,3,20,403,263,140,1,11.35,-6.37,-2.67
7,Sun,October 19,1:00PM ET,boxscore,L,,1-6,@,Cleveland Browns,6,31,12,219,120,99,4,15,206,102,104,,-30.87,-2.83,6.53
8,Sun,October 26,1:00PM ET,boxscore,W,,2-6,@,Atlanta Falcons,34,10,24,338,197,141,,11,213,168,45,1,14.50,8.12,-0.54
9,Thu,October 30,8:15PM ET,boxscore,L,,2-7,,Baltimore Ravens,6,28,17,332,245,87,3,18,338,188,150,,-10.44,-10.86,-1.88
10,Sun,November 9,1:00PM ET,boxscore,W,,3-7,,Buffalo Bills,30,13,19,370,173,197,2,20,376,289,87,3,17.53,3.35,-2.85
11,Sun,November 16,9:30AM ET,boxscore,W,OT,4-7,,Washington Commanders,16,13,19,311,142,169,,22,379,207,172,2,-0.86,-5.19,9.05
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,November 30,1:00PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,New York Jets,,,,,,,,,,,,,,,
15,Mon,December 15,8:15PM ET,preview,,,,@,Pittsburgh Steelers,,,,,,,,,,,,,,,
16,Sun,December 21,8:20PM ET,preview,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,,Tampa Bay Buccaneers,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
