header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Jonathan Allen,30,DL,11,11,0,0,0,0,0,0,0,1,0,0,2.5,40,20,20,5,8,0,
2,Josh Metellus,27,S,11,11,2,0,0,0,4,0,0,0,0,0,0.5,71,35,36,1,2,0,
3,Byron Murphy,27,CB,11,11,0,0,0,0,3,0,0,0,0,0,0.0,50,36,14,1,0,0,
4,Javon Hargrave,32,DL,11,10,0,0,0,0,0,0,0,0,0,0,3.0,40,16,24,4,4,0,
5,Jalen Redmond,26,DL,11,10,0,0,0,0,3,1,0,0,0,0,4.0,40,23,17,8,6,0,
6,Isaiah Rodgers,27,CB,11,10,1,87,1,87,3,2,0,1,66,1,0.0,42,31,11,3,0,0,
7,Eric Wilson,31,LB,11,10,0,0,0,0,0,3,0,0,0,0,3.5,74,41,33,10,5,0,
8,Jonathan Greenard,28,OLB,9,9,0,0,0,0,3,1,0,0,0,0,2.0,31,19,12,10,9,0,
9,Blake Brandel,28,G,11,7,0,0,0,0,0,0,1,1,-22,0,0.0,0,0,0,0,0,0,
10,Blake Cashman,29,LB,7,7,0,0,0,0,0,1,0,0,0,0,0.0,74,34,40,2,1,0,
11,Theo Jackson,27,S,10,7,0,0,0,0,1,1,0,1,9,0,0.0,39,17,22,1,0,0,
12,Aaron Jones,31,RB,7,7,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
13,J.J. McCarthy,22,QB,6,6,0,0,0,0,0,0,5,4,-5,0,0.0,0,0,0,0,0,0,
14,Ivan Pace,25,LB,11,6,0,0,0,0,0,0,0,0,0,0,1.0,50,28,22,2,6,0,
15,Harrison Smith,36,S,9,6,0,0,0,0,3,1,0,1,-1,0,0.0,34,24,10,1,0,0,
16,Dallas Turner,22,OLB,11,6,0,0,0,0,2,0,0,0,0,0,3.5,41,16,25,6,9,0,
17,Andrew Van Ginkel,30,OLB,6,5,0,0,0,0,5,0,0,0,0,0,3.0,27,14,13,6,4,0,
18,Carson Wentz,33,QB,5,5,0,0,0,0,0,0,3,2,-8,0,0.0,0,0,0,0,0,0,
19,Jordan Mason,26,RB,11,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
20,Josh Oliver,28,TE,9,3,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
21,Levi Drake Rodriguez,25,DL,11,1,0,0,0,0,0,0,0,0,0,0,1.0,30,13,17,7,3,0,
22,Jay Ward,25,S,11,1,0,0,0,0,0,0,0,1,0,0,0.0,8,4,4,1,0,0,
23,Tyler Batty,26,OLB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,2,0,0,
24,Chaz Chambliss,23,OLB,7,0,0,0,0,0,0,0,0,0,0,0,1.0,7,6,1,1,1,0,
25,Andrew DePaola,38,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
26,Tai Felton,22,WR,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,0,0,
27,C.J. Ham,32,FB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
28,Tyrion Ingram-Dawkins,22,DL,8,0,0,0,0,0,1,0,0,0,0,0,1.0,9,4,5,2,1,0,
29,Austin Keys,23,LB,8,0,0,0,0,0,0,0,0,0,0,0,1.0,4,3,1,1,1,0,
30,Kobe King,22,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
31,Fabian Moreau,31,CB,5,0,0,0,0,0,1,0,0,0,0,0,0.0,8,5,3,0,0,0,
32,Jeff Okudah,26,CB,6,0,0,0,0,0,0,0,0,1,0,0,0.0,14,12,2,0,0,0,
33,Myles Price,24,WR,11,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,
34,Bo Richter,25,OLB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,
35,Zavier Scott,26,RB,10,0,0,0,0,0,0,0,2,0,0,0,0.0,2,0,2,0,0,0,
36,Tavierre Thomas,29,S,11,0,0,0,0,0,0,1,0,0,0,0,0.0,17,7,10,0,0,0,
37,Elijah Williams,23,DL,5,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0,0,0,
38,Ben Yurosek,23,TE,8,0,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,
