header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Justin Jefferson,26,WR,11,11,1,4,0,0,100.0,4,4.0,0.4,0.1,99,60,795,13.3,2,34,48.5,50,5.5,72.3,60.6,8.0,61,13.1,799,2,0,
2,Jordan Mason,26,RB,11,4,116,531,5,33,55.2,24,4.6,48.3,10.5,14,12,44,3.7,0,1,28.6,13,1.1,4.0,85.7,3.1,128,4.5,575,5,2,
3,Jordan Addison,23,WR,8,7,1,16,0,1,100.0,16,16.0,2.0,0.1,53,28,412,14.7,3,18,50.9,81,3.5,51.5,52.8,7.8,29,14.8,428,3,0,
4,Aaron Jones,31,RB,7,7,61,297,1,13,55.7,31,4.9,42.4,8.7,26,16,128,8.0,1,7,42.3,27,2.3,18.3,61.5,4.9,77,5.5,425,2,1,
5,Jalen Nailor,26,WR,11,6,1,15,0,1,100.0,15,15.0,1.4,0.1,38,20,318,15.9,2,16,47.4,62,1.8,28.9,52.6,8.4,21,15.9,333,2,0,
6,T.J. Hockenson,28,TE,11,11,1,0,0,0,0.0,,0.0,0.0,0.1,51,38,299,7.9,2,14,47.1,21,3.5,27.2,74.5,5.9,39,7.7,299,2,0,
7,Zavier Scott,26,RB,10,0,21,69,0,3,47.6,11,3.3,6.9,2.1,12,10,73,7.3,1,5,50.0,20,1.0,7.3,83.3,6.1,31,4.6,142,1,2,
8,J.J. McCarthy,22,QB,6,6,23,120,2,6,39.1,26,5.2,20.0,3.8,0,0,0,,0,0,,,0.0,0.0,,,23,5.2,120,2,5,
9,Adam Thielen,35,WR,11,4,0,0,0,0,,,,0.0,0.0,18,8,69,8.6,0,6,44.4,19,0.7,6.3,44.4,3.8,8,8.6,69,0,0,
10,Josh Oliver,28,TE,9,3,0,0,0,0,,,,0.0,0.0,9,7,62,8.9,2,2,66.7,32,0.8,6.9,77.8,6.9,7,8.9,62,2,0,
11,Carson Wentz,33,QB,5,5,11,57,0,3,27.3,16,5.2,11.4,2.2,0,0,0,,0,0,,,0.0,0.0,,,11,5.2,57,0,3,
12,Cam Akers,26,RB,3,0,5,19,0,1,40.0,14,3.8,6.3,1.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,5,3.8,19,0,0,
13,Tai Felton,22,WR,11,0,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,0,0,0.0,9,0.1,0.8,100.0,9.0,1,9.0,9,0,0,
14,C.J. Ham,32,FB,5,0,0,0,0,0,,,,0.0,0.0,1,1,5,5.0,0,0,100.0,5,0.2,1.0,100.0,5.0,1,5.0,5,0,0,
15,Ben Yurosek,23,TE,8,0,0,0,0,0,,,,0.0,0.0,2,1,5,5.0,0,0,50.0,5,0.1,0.6,50.0,2.5,1,5.0,5,0,0,
16,Max Brosmer,24,QB,4,0,1,-1,0,0,0.0,-1,-1.0,-0.3,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
