header_empty_0,header_td,header_pat,header_fgtot,header_empty_7,ranker,name_display,age,pos,games,games_started,rush_td,rec_td,punt_ret_td,kick_ret_td,fumbles_rec_td,def_int_td,other_td,total_td,two_pt_md,def_two_pt,xpm,xpa,fgm
1,Will Reichard,24,K,11,0,0,0,0,0,0,0,0,0,0,0,19,19,21,23,0,82,7.5,
2,Jordan Mason,26,RB,11,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,2.7,
3,Jordan Addison,23,WR,8,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2.3,
4,Jalen Nailor,26,WR,11,6,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,14,1.3,
5,T.J. Hockenson,28,TE,11,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
6,Justin Jefferson,26,WR,11,11,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.1,
7,Aaron Jones,31,RB,7,7,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.7,
8,J.J. McCarthy,22,QB,6,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,2.0,
9,Josh Oliver,28,TE,9,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1.3,
10,Isaiah Rodgers,27,CB,11,10,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,12,1.1,
11,Zavier Scott,26,RB,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0.6,
12,Adam Thielen,35,WR,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.2,
