header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Bryan Bresee,24,DT,11,11,0,0,0,0,3,1,0,0,0,0,1.5,27,10,17,3,7,0,
2,Demario Davis,36,LB,11,11,0,0,0,0,2,2,0,1,0,0,0.0,102,48,54,5,1,0,
3,Davon Godchaux,31,DT,11,11,0,0,0,0,0,1,0,0,0,0,0.0,29,8,21,1,0,0,
4,Cameron Jordan,36,DE,11,11,0,0,0,0,1,1,1,1,0,0,4.5,25,17,8,7,6,0,
5,Alvin Kamara,30,RB,11,11,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
6,Kool-Aid McKinstry,23,CB,11,11,2,0,0,0,8,0,0,0,0,0,0.0,48,38,10,2,0,0,
7,Justin Reid,28,S,11,11,1,49,1,49,4,0,0,0,0,0,0.5,59,33,26,1,1,0,
8,Cesar Ruiz,26,OL,10,10,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
9,Jonas Sanker,23,S,11,10,1,0,0,0,4,0,0,1,27,0,0.0,55,36,19,2,0,0,
10,Alontae Taylor,27,CB,11,10,1,11,0,11,5,0,0,0,0,0,1.0,56,38,18,5,1,0,
11,Rashid Shaheed,27,WR,9,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
12,Pete Werner,26,LB,11,9,0,0,0,0,4,0,0,2,0,0,2.0,62,38,24,4,3,0,
13,Spencer Rattler,25,QB,8,8,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,
14,Juwan Johnson,29,TE,11,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
15,Erik McCoy,28,OL,7,7,0,0,0,0,0,0,0,1,6,0,0.0,0,0,0,0,0,0,
16,Carl Granderson,29,DE,11,6,0,0,0,0,2,0,0,0,0,0,4.5,35,24,11,6,6,0,
17,Nathan Shepherd,32,DT,11,6,0,0,0,0,0,0,0,0,0,0,2.0,31,13,18,3,8,0,
18,Chase Young,26,DE,6,6,0,0,0,0,3,1,0,1,-5,0,4.0,17,8,9,3,7,0,
19,Jonathan Bullard,32,DE,9,3,0,0,0,0,1,0,0,0,0,0,0.0,14,8,6,2,0,0,
20,Tyler Shough,26,QB,5,3,0,0,0,0,0,0,1,0,-2,0,0.0,0,0,0,0,0,0,
21,Quincy Riley,24,CB,11,2,1,0,0,0,5,1,0,0,0,0,0.0,17,17,0,0,0,0,
22,Jack Stoll,27,TE,10,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
23,Julian Blackmon,27,S,1,1,0,0,0,0,1,0,0,0,0,0,0.0,7,4,3,0,0,0,
24,Terrell Burgess,27,S,10,1,0,0,0,0,2,0,0,0,0,0,0.0,10,3,7,0,0,0,
25,Taysom Hill,35,TE,7,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
26,Isaac Yiadom,29,CB,8,1,0,0,0,0,0,0,0,0,0,0,0.0,20,14,6,1,0,0,
27,Khristian Boyd,25,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
28,Vernon Broughton,24,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
29,Michael Davis,30,CB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
30,Jaylan Ford,24,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0,0,0,
31,Blake Grupe,27,K,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32,Jordan Howden,25,DB,10,0,0,0,0,0,0,0,0,1,86,1,0.0,13,8,5,0,0,0,
33,Velus Jones Jr.,28,RB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
34,Eku Leota,26,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
35,John Ridgeway,26,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
36,Chris Rumph,27,DE,11,0,0,0,0,0,1,1,0,0,0,0,1.0,33,18,15,1,3,0,
37,Isaiah Stalbird,25,LB,11,0,0,0,0,0,1,0,0,0,0,0,1.0,19,11,8,1,1,0,
38,Danny Stutsman,22,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,31,11,20,0,0,0,
39,Jonah Williams,30,DE,9,0,0,0,0,0,0,0,0,0,0,0,1.0,5,2,3,2,3,0,
40,Zach Wood,32,LS,11,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
