header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,Chris Olave,25,WR,11,11,1,-3,0,0,0.0,-3,-3.0,-0.3,0.1,108,69,734,10.6,4,31,48.1,62,6.3,66.7,63.9,6.8,70,10.4,731,4,0,
2,Alvin Kamara,30,RB,11,11,131,471,1,21,42.0,18,3.6,42.8,11.9,39,33,186,5.6,0,7,33.3,26,3.0,16.9,84.6,4.8,164,4.0,657,1,2,
3,Juwan Johnson,29,TE,11,7,0,0,0,0,,,,0.0,0.0,67,49,537,11.0,3,26,56.7,52,4.5,48.8,73.1,8.0,49,11.0,537,3,1,
4,Rashid Shaheed,27,WR,9,9,2,5,0,0,50.0,5,2.5,0.6,0.2,66,44,499,11.3,2,22,43.9,87,4.9,55.4,66.7,7.6,46,11.0,504,2,1,
5,Kendre Miller,23,RB,7,0,47,193,1,9,44.7,18,4.1,27.6,6.7,5,5,30,6.0,0,1,20.0,11,0.7,4.3,100.0,6.0,52,4.3,223,1,0,
6,Spencer Rattler,25,QB,8,8,31,167,0,17,74.2,15,5.4,20.9,3.9,2,1,0,0.0,0,0,0.0,,0.1,0.0,50.0,0.0,32,5.2,167,0,4,
7,Brandin Cooks,32,WR,10,3,0,0,0,0,,,,0.0,0.0,25,19,165,8.7,0,10,68.0,21,1.9,16.5,76.0,6.6,19,8.7,165,0,0,
8,Devin Neal,22,RB,7,0,17,61,0,2,58.8,14,3.6,8.7,2.4,14,12,64,5.3,0,3,28.6,18,1.7,9.1,85.7,4.6,29,4.3,125,0,0,
9,Devaughn Vele,28,WR,10,5,0,0,0,0,,,,0.0,0.0,20,9,91,10.1,1,6,40.0,15,0.9,9.1,45.0,4.6,9,10.1,91,1,0,
10,Taysom Hill,35,TE,7,1,32,69,1,12,46.9,29,2.2,9.9,4.6,4,3,18,6.0,0,0,50.0,7,0.4,2.6,75.0,4.5,35,2.5,87,1,1,
11,Jack Stoll,27,TE,10,2,0,0,0,0,,,,0.0,0.0,7,4,35,8.8,1,1,57.1,13,0.4,3.5,57.1,5.0,4,8.8,35,1,0,
12,Tyler Shough,26,QB,5,3,15,33,0,3,33.3,11,2.2,6.6,3.0,0,0,0,,0,0,,,0.0,0.0,,,15,2.2,33,0,1,
13,Mason Tipton,25,WR,10,1,1,11,0,1,100.0,11,11.0,1.1,0.1,6,3,22,7.3,0,1,33.3,9,0.3,2.2,50.0,3.7,4,8.3,33,0,0,
14,Foster Moreau,28,TE,7,5,0,0,0,0,,,,0.0,0.0,6,3,25,8.3,0,1,50.0,10,0.4,3.6,50.0,4.2,3,8.3,25,0,0,
15,Zaire Mitchell-Paden,26,TE,2,0,0,0,0,0,,,,0.0,0.0,1,1,14,14.0,0,1,100.0,14,0.5,7.0,100.0,14.0,1,14.0,14,0,0,
16,Dante Pettis,30,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,14,14.0,0,0,0.0,14,0.5,7.0,100.0,14.0,1,14.0,14,0,0,
17,Kevin Austin,25,WR,2,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
