header_score,header_off,header_def,header_exp_pts,week_num,game_day_of_week,game_date,game_time,boxscore_word,game_outcome,overtime,team_record,game_location,opp,pts_off,pts_def,first_down_off,yards_off,pass_yds_off,rush_yds_off,to_off,first_down_def,yards_def,pass_yds_def,rush_yds_def
1,Sun,September 7,1:00PM ET,boxscore,L,,0-1,,Arizona Cardinals,13,20,21,315,208,107,,19,276,130,146,,1.36,-5.26,-1.92
2,Sun,September 14,1:00PM ET,boxscore,L,,0-2,,San Francisco 49ers,21,26,21,307,186,121,1,23,344,267,77,1,4.01,-7.35,-2.48
3,Sun,September 21,4:05PM ET,boxscore,L,,0-3,@,Seattle Seahawks,13,44,21,284,205,79,1,22,320,233,87,1,-4.16,-11.28,-16.41
4,Sun,September 28,1:00PM ET,boxscore,L,,0-4,@,Buffalo Bills,19,31,22,298,109,189,1,20,356,191,165,1,-4.90,-9.22,0.61
5,Sun,October 5,1:00PM ET,boxscore,W,,1-4,,New York Giants,26,14,18,332,244,88,,23,335,199,136,5,8.52,13.83,-11.08
6,Sun,October 12,1:00PM ET,boxscore,L,,1-5,,New England Patriots,19,25,17,296,223,73,1,19,333,260,73,,2.11,-9.44,1.65
7,Sun,October 19,1:00PM ET,boxscore,L,,1-6,@,Chicago Bears,14,26,16,253,209,44,4,23,386,164,222,1,-8.23,-5.76,-2.28
8,Sun,October 26,4:05PM ET,boxscore,L,,1-7,,Tampa Bay Buccaneers,3,23,17,275,227,48,4,14,212,124,88,1,-21.57,8.55,-5.97
9,Sun,November 2,4:05PM ET,boxscore,L,,1-8,@,Los Angeles Rams,10,34,10,224,167,57,2,30,438,267,171,,-8.48,-27.61,11.17
10,Sun,November 9,1:00PM ET,boxscore,W,,2-8,@,Carolina Panthers,17,7,17,388,266,122,1,13,175,102,73,2,9.31,10.51,-7.78
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 23,4:25PM ET,boxscore,L,,2-9,,Atlanta Falcons,10,24,21,293,214,79,2,13,302,181,121,1,-12.54,7.13,-7.13
13,Sun,November 30,1:00PM ET,preview,,,,@,Miami Dolphins,,,,,,,,,,,,,,,
14,Sun,December 7,1:00PM ET,preview,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,,,,,
15,Sun,December 14,4:25PM ET,preview,,,,,Carolina Panthers,,,,,,,,,,,,,,,
16,Sun,December 21,1:00PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
17,Sun,December 28,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
18,Sun,January 4,1:00PM ET,preview,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,
