header_empty_0,header_def_int,header_fumbles,header_other_defense,ranker,name_display,age,pos,games,games_started,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists
1,Garrett Bradbury,30,C,12,12,0,0,0,0,0,0,2,0,-27,0,0.0,0,0,0,0,0,0,
2,Will Campbell,21,OT,12,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
3,Carlton Davis,28,CB,12,12,0,0,0,0,6,0,0,0,0,0,0.0,47,26,21,0,1,0,
4,Harold Landry,29,OLB,12,12,0,0,0,0,0,1,0,0,0,0,6.5,41,22,19,8,16,0,
5,Drake Maye,23,QB,12,12,0,0,0,0,0,0,6,4,0,0,0.0,0,0,0,0,0,0,
6,Robert Spillane,30,LB,12,12,2,70,0,37,5,1,0,0,0,0,1.0,95,46,49,4,0,0,
7,Christian Barmore,26,DT,12,11,0,0,0,0,0,0,0,0,0,0,1.0,20,10,10,3,6,0,
8,Milton Williams,26,DT,11,11,0,0,0,0,1,0,0,0,0,0,3.5,27,14,13,7,8,0,
9,Jared Wilson,22,C,11,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
10,Craig Woodson,24,S,12,11,0,0,0,0,3,0,0,1,0,0,0.0,57,31,26,4,0,0,
11,Jaylinn Hawkins,28,S,10,10,2,1,0,1,2,0,0,1,0,0,1.5,47,34,13,3,3,0,
12,Christian Gonzalez,23,CB,9,9,0,0,0,0,7,0,0,0,0,0,0.0,46,36,10,1,0,0,
13,K'Lavon Chaisson,26,LB,11,8,0,0,0,0,1,1,0,1,4,1,6.5,18,10,8,8,13,0,
14,Christian Elliss,26,LB,10,8,0,0,0,0,1,1,0,0,0,0,0.0,58,26,32,0,3,0,
15,Rhamondre Stevenson,27,RB,9,8,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
16,Marcus Jones,27,CB,12,6,3,65,1,33,11,0,1,1,0,0,1.0,50,34,16,6,1,0,
17,Khyiris Tonga,29,DL,12,6,0,0,0,0,2,0,0,0,0,0,0.0,19,9,10,2,2,0,
18,Kyle Dugger,29,S,7,4,0,0,0,0,0,0,0,0,0,0,0.0,17,7,10,0,0,0,
19,Jack Gibbens,27,LB,12,4,0,0,0,0,2,0,0,0,0,0,0.0,49,29,20,4,0,0,
20,TreVeyon Henderson,23,RB,12,4,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
21,Jahlani Tavai,29,LB,7,4,0,0,0,0,0,0,0,0,0,0,0.0,19,10,9,1,0,0,
22,Alex Austin,24,CB,12,2,0,0,0,0,1,0,0,0,0,0,0.0,13,10,3,1,0,0,
23,Joshua Farmer,22,DT,10,1,0,0,0,0,1,0,0,1,0,0,0.0,11,4,7,1,0,0,
24,Keion White,26,DE,5,1,0,0,0,0,0,0,0,0,0,0,0.0,6,2,4,0,0,0,
25,Julian Ashby,23,LS,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
26,Corey Ballentine,29,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
27,Andres Borregales,23,K,12,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
28,Cory Durden,26,NT,12,0,0,0,0,0,0,0,0,0,0,0,0.0,15,4,11,2,0,0,
29,Antonio Gibson,27,RB,5,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
30,Richie Grant,28,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
31,Eric Gregory,25,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
32,Darius Harris,29,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
33,D.J. James,24,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
34,Anfernee Jennings,28,LB,9,0,0,0,0,0,0,0,0,1,0,0,1.0,13,7,6,1,2,0,
35,Terrell Jennings,24,RB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
36,Marte Mapu,26,LB,12,0,1,20,0,20,2,0,0,0,0,0,0.0,19,14,5,0,0,0,
37,Dell Pettus,24,S,12,0,0,0,0,0,2,1,0,0,0,0,0.0,12,6,6,0,0,0,
38,Jeremiah Pharms,29,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,0,
39,Elijah Ponder,23,LB,10,0,0,0,0,0,0,0,0,0,0,0,2.0,18,10,8,2,2,0,
40,Mark Robinson,26,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,
41,Brenden Schooler,28,S,12,0,0,0,0,0,0,0,0,0,0,0,0.0,12,7,5,0,0,0,
42,Bradyn Swinson,23,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
43,Charles Woods,25,CB,10,0,0,0,0,0,1,0,0,0,0,0,0.0,6,4,2,0,0,0,
