header_empty_0,header_rush,header_rec,block_auto_header_Scrimmage,ranker,name_display,age,pos,games,games_started,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_success,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,touches,yds_per_touch
1,TreVeyon Henderson,23,RB,12,4,118,558,5,29,50.0,69,4.7,46.5,9.8,34,29,180,6.2,1,6,44.1,19,2.4,15.0,85.3,5.3,147,5.0,738,6,1,
2,Stefon Diggs,32,WR,12,12,0,0,0,0,,,,0.0,0.0,75,61,679,11.1,3,35,65.3,33,5.1,56.6,81.3,9.1,61,11.1,679,3,0,
3,Hunter Henry,31,TE,12,12,0,0,0,0,,,,0.0,0.0,63,41,537,13.1,5,29,57.1,31,3.4,44.8,65.1,8.5,41,13.1,537,5,0,
4,Rhamondre Stevenson,27,RB,9,8,89,284,3,13,40.4,22,3.2,31.6,9.9,21,17,174,10.2,0,4,52.4,55,1.9,19.3,81.0,8.3,106,4.3,458,3,3,
5,Kayshon Boutte,23,WR,10,7,0,0,0,0,,,,0.0,0.0,33,25,446,17.8,5,21,72.7,39,2.5,44.6,75.8,13.5,25,17.8,446,5,0,
6,Mack Hollins,32,WR,12,10,1,4,0,0,0.0,4,4.0,0.3,0.1,44,32,417,13.0,2,22,65.9,54,2.7,34.8,72.7,9.5,33,12.8,421,2,0,
7,Demario Douglas,25,WR,12,0,6,16,0,2,50.0,14,2.7,1.3,0.5,36,24,369,15.4,3,14,55.6,58,2.0,30.8,66.7,10.3,30,12.8,385,3,0,
8,Drake Maye,23,QB,12,12,75,307,2,23,40.0,28,4.1,25.6,6.3,1,1,2,2.0,0,0,0.0,2,0.1,0.2,100.0,2.0,76,4.1,309,2,6,
9,Austin Hooper,31,TE,11,6,0,0,0,0,,,,0.0,0.0,19,16,213,13.3,1,11,78.9,31,1.5,19.4,84.2,11.2,16,13.3,213,1,0,
10,Antonio Gibson,27,RB,5,0,25,106,1,6,44.0,21,4.2,21.2,5.0,3,2,6,3.0,0,0,0.0,5,0.4,1.2,66.7,2.0,27,4.1,112,1,2,
11,Kyle Williams,23,WR,12,0,1,-2,0,0,0.0,-2,-2.0,-0.2,0.1,12,4,110,27.5,1,3,33.3,72,0.3,9.2,33.3,9.2,5,21.6,108,1,0,
12,Terrell Jennings,24,RB,6,0,23,73,1,8,43.5,11,3.2,12.2,3.8,1,1,9,9.0,0,0,100.0,9,0.2,1.5,100.0,9.0,24,3.4,82,1,0,
13,D'Ernest Johnson,29,RB,3,0,4,7,0,0,25.0,5,1.8,2.3,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,1.8,7,0,0,
14,Jack Westover,26,FB,12,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
15,Joshua Dobbs,30,QB,2,0,5,-4,0,0,0.0,,-0.8,-2.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,-0.8,-4,0,0,
